Company	Page	Claim_Text	ESG_Type	Claim_Type	Evidence_Exists	Risk_Signal
Keurig Dr Pepper	11	In addition, we invest in targeted water security and access projects within our value chain and in underserved communities.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	11	Specific to indirect water use from our suppliers who grow agricultural raw materials, we are working to protect water quality in select watersheds through projects related to regenerative agriculture.	E	Vague	No	Vague
Keurig Dr Pepper	11	For the underserved First Nations, Métis and Inuit communities in Canada, we are supporting and collaborating to increase access to safe water.	S	Vague	No	Vague
Keurig Dr Pepper	11	KDP’s cross-functional teams, including Procurement, Operations and Sustainability, collaborate to advance our water goals.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	11	We have established several policies that outline our approach and reinforce our commitment to water use and stewardship.	E	Vague	No	Vague
Keurig Dr Pepper	12	2024 Progress KDP is committed to improve our water use efficiency in our beverage bottling and concentrate facilities.	E	Vague	No	Vague
Keurig Dr Pepper	12	Although we made significant improvements at key sites, our network performance has been challenged by changing operational demands and need for quality ingredient water.	E	Vague	No	Vague
Keurig Dr Pepper	12	In 2024, we continued to invest in capital programs intended to increase the efficiency of our water treatment processes.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	12	These projects are aimed to reduce the amount of water required in our production processes by the end of 2025.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	12	Continuing into the future, we have identified additional investments in water treatment technology with the potential to improve water use efficiency further in coming years.	E	Vague	No	Vague
Keurig Dr Pepper	12	In addition, KDP is committed to partnering with our highest water-risk operating communities, so that by 2030 we will be replenishing 100% of water used in our beverages in those communities on an annual basis.	E	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	12	Through various collaborations with nonprofit and industry partners, we achieved 66% replenishment for high water-risk operating communities in 2024, an increase from 55% in 2023.	S	Strong	Yes	Supported
Keurig Dr Pepper	12	Key to driving progress were additional investments, partnerships and implementation of community projects in these high water-risk operating areas.	E	Vague	No	Vague
Keurig Dr Pepper	12	At year-end 2024, KDP’s portfolio of active water replenishment projects contributed an annual total volumetric water benefit of over 3,000 megaliters, or approximately 790 million gallons.	E	Strong	Yes	Supported
Keurig Dr Pepper	12	In addition, we met or exceeded the target water volumes equivalent to that used in four of our 10 sites in the regions where they operate, while exceeding 50% of our target water volume at another three of 10 sites.	E	Strong	Yes	Supported
Keurig Dr Pepper	12	Moving forward, KDP will adjust our water efficiency target to reflect changing operational demands and prioritize initiatives with manufacturing sites in water stressed areas.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	12	We will aim to achieve an average water use ratio of 1.8 across all beverage facilities, and an average water use ratio of 1.6 for beverage facilities in high water-risk locations by 2030.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	12	For work in water replenishment, we will continue to report progress on our 2030 target to partner with our highest water- risk operating communities to replenish 100% of water used in our beverages in those communities by 2030.	E	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	13	We invested in higher efficiency water treatment infrastructure at our Houston, Texas and Aspers, Pennsylvania manufacturing facilities in 2024.	E	Vague	No	Vague
Keurig Dr Pepper	13	The enhanced water treatment is estimated to save over 50 million gallons of water annually.	E	Strong	Yes	Supported
Keurig Dr Pepper	13	In addition, we completed water efficiency continuous improvement events at our Tehuacán, Mexico and Ottumwa, Iowa sites.	E	Vague	No	Vague
Keurig Dr Pepper	13	During these three-day events, our manufacturing team systematically evaluated the facilities and identified opportunities for potential water savings, such as repairing leaks, optimizing sanitation practices and improving water treatment infrastructure.	E	Vague	No	Vague
Keurig Dr Pepper	13	These efforts are expected to result in an additional 55 million gallons per year of water savings by 2030.	E	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	13	In 2024, installation of drip irrigation was completed on 469 acres of farmland across three different farms, resulting in an estimated 700 megaliters of water benefit to the San Joaquin and Sacramento basins for the partial year of operation.	E	Vague	No	Vague
Keurig Dr Pepper	13	Wetland Rehabilitation in Florida: KDP partners with the National Audubon Society in South Florida to restore Corkscrew Swamp Sanctuary’s marshes and wet prairies via a multi-year restoration process to improve water resources and encourage biologically diverse, high functioning wetlands.	E	Vague	No	Vague
Keurig Dr Pepper	13	Agricultural Interventions in Mexico: KDP is supporting Cauce Bajio, the Guanajuato Water Fund, in its work with local farmers to promote improved irrigation management practices.	E	Vague	No	Vague
Keurig Dr Pepper	13	This includes land leveling, which is a process to efficiently distribute irrigation water, and targeted irrigation systems performance recommendations for farmers.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	13	In the Spring-Summer cycle of 2024, technical assistance and land leveling activities took place on over 150 hectares of land across 15 different farms, adding to the more than 40 hectares of land where activities took place in the Autumn-Winter growing season.	E	Strong	Yes	Supported
Keurig Dr Pepper	13	Completed in 2024, the project has enhanced wildlife habitat and is cleaning and replenishing nearly 54 million gallons of water each year before it flows back into the Trinity River.	E	Strong	Yes	Supported
Keurig Dr Pepper	14	In 2024, the program supported nine youth in their water-related artistic projects, fostering youth leadership, participation and dialogue on water rights and stewardship, engaging more than 120,000 people.	E	Strong	Yes	Supported
Keurig Dr Pepper	14	Improved Water Security in Central America: Between 2022-2024, KDP supported the Blue Harvest Regenerative program which has helped community organizations across 18 micro-watersheds in Honduras and Nicaragua protect the water resources and improve water security for more than 38,000 people.	E	Strong	Yes	Supported
Keurig Dr Pepper	14	The program has enhanced watershed protection through the installation of more water-efficient coffee processing equipment, the application of practices that improve the soil’s capacity to filter and store rainwater and the optimization of fertilizer application to minimize contamination of local waterways.	E	Vague	No	Vague
Keurig Dr Pepper	16	Our strategy to support a more circular economy aims to use more sustainable packaging materials and designs that use less virgin plastic.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	16	This means incorporating more PCR content where possible, working to reduce or eliminate unnecessary materials, redesigning packaging to be compatible with recycling and composting systems and exploring reuse and refillable packaging models.	E	Vague	No	Vague
Keurig Dr Pepper	16	We also work with regulatory agencies to meet and report on various packaging compliance regulations across North America, such as EPR programs, Deposit Return Systems (DRS) and minimum recycled content requirements in place in certain jurisdictions.	E	Vague	No	Vague
Keurig Dr Pepper	16	We also strive to improve resource recovery so that valuable materials are reused, recycled and composted, rather than ending up in landfills.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	16	Each of our manufacturing sites supports this commitment through production optimization and investing in reducing, reusing and recycling materials and resources.	E	Vague	No	Vague
Keurig Dr Pepper	16	To help close the loop of the circular economy, we help strengthen end markets for recycled materials by purchasing and incorporating PCR content where we can across our packaging portfolio and in our coffee makers.	E	Vague	No	Vague
Keurig Dr Pepper	17	Packaging we consider to be ‘recyclable’ includes materials and formats for which recovery, sortation and end markets exist or can practically be scaled across North America, noting that many communities may not accept or sort certain materials or formats today.	E	Vague	No	Vague
Keurig Dr Pepper	17	As states begin implementation of EPR programs, each state may vary in terms of the products they accept in their recycling programs and thus deem “recyclable” with some programs applying recycling rate requirements to determine recyclability.	E	Vague	No	Vague
Keurig Dr Pepper	18	2024 Progress In 2024, we continued work toward our 2025 goals to advance sustainable packaging solutions.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	18	Through packaging design and material procurement efforts, we completed the transition to recyclable labels on all of our Bai beverage bottles.	E	Vague	No	Vague
Keurig Dr Pepper	18	This contributed to 96% of our packaging portfolio being designed for recyclability or compostability in 2024 versus 95% in 2023.	E	Strong	Yes	Supported
Keurig Dr Pepper	18	Compared to the 2019 baseline, we have reduced our 2024 virgin plastic use by 17% due to lightweighting of certain packaging and a shift in our packaging mix.	E	Vague	No	Vague
Keurig Dr Pepper	18	The shift in our packaging mix also contributed to a 1% decline from 2023 in PCR content across our total packaging portfolio (26%) and our plastic packaging portfolio (16%).	E	Strong	Yes	Supported
Keurig Dr Pepper	18	Despite strong effort, we will likely not meet our 2025 packaging goals due to the challenges to material availability and infrastructure.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	18	We recognize there is still much work to do in building a circular economy and we are committed to continuing to engage, invest and improve.	E	Vague	No	Vague
Keurig Dr Pepper	18	Moving forward, we aim to incorporate 25-35% PCR plastic to our primary plastic packaging by 2035, an adjustment that focuses our effort to primary plastic packaging and reflects changing regulatory requirements, market realities and the availability and quality of sustainable packaging materials.	E	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	18	This in turn will continue to decrease our use of virgin plastic, a continued focus of the company.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	18	We also aim to send zero waste to landfill from our facilities.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	18	Each of our sites supports this commitment through production optimization as well as investing in the reduction, reuse, energy recovery and recycling of materials and resources.	E	Vague	No	Vague
Keurig Dr Pepper	18	In 2024, we kept 93% of our manufacturing waste from entering landfills and maintained zero waste to landfill at multiple manufacturing sites.	E	Strong	Yes	Supported
Keurig Dr Pepper	18	*% of total weight procured; % of 2024 Packaging Mix may not sum to 100% due to rounding.	E	Strong	Yes	Supported
Keurig Dr Pepper	19	In 2024, we announced that we would be launching K-Rounds plastic- and aluminum-free pods as well as a new brewing system, the Keurig Alta brewer.	E	Vague	No	Vague
Keurig Dr Pepper	19	We are currently in the beta testing phase, using a prototype brewer to gather insights from real- world homes and consumers that will help us fine- tune the performance, quality and design of the system.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	19	As part of this initiative, we are investing in a new manufacturing facility that will exclusively produce KDP’s next-generation K-Rounds plastic- and aluminum-free pods.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	19	We will continue to use the learnings gained to inform future cross-industry collaborations that can potentially scale reuse opportunities.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	20	ADVOCACY, INFRASTRUCTURE & PARTNERSHIPS Well-Designed EPR Programs We advocate for policies at all levels of government to accelerate the development of a circular economy for packaging materials, particularly for the modernization and standardization of recycling and industrial composting infrastructure.	E	Vague	No	Vague
Keurig Dr Pepper	20	Across North America, a patchwork of regulations, inadequate investment and lack of minimum performance standards are preventing economies of scale in our recycling system6 and confusing consumers7.	E	Vague	No	Vague
Keurig Dr Pepper	20	That is why we support smart policy solutions, such as well-designed EPR programs, that are focused on efficient and equitable ways to increase material recovery, while reducing the economic and environmental costs of disposal.	E	Vague	No	Vague
Keurig Dr Pepper	20	• Canada: We have been engaged with leading Producer Responsibility Organizations and regulators that are responsible for the implementation of expanded municipal recycling programs across the country.	E	Vague	No	Vague
Keurig Dr Pepper	20	Informative flyers highlighting the recycling of K-Cup pods were included with broader community recycling information distributed at the event with the aim to keep many items out of landfill, including plastic packaging.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	20	Since 2014, KDP has committed more than $50 million in support of a more circular economy through collaborative projects, partnerships and investments in communities across North America.	S	Strong	Yes	Supported
Keurig Dr Pepper	20	The Recycling Partnership’s Polypropylene Recycling Coalition: Since its start in 2020, $22 million has been awarded in grant funding across 66 facilities to improve infrastructure, capacity and education, enabling over 50 million people in the U.S. to have new or improved access to polypropylene recycling.	E	Strong	Yes	Supported
Keurig Dr Pepper	20	Projects underway in 2024, which are valued at an estimated $700,000 CAD, aim to optimize plastics recycling along the value chain with a focus on challenging resins and formats.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	20	K-Cycle At Home & Commercial We launched a new mail-back program to expand recycling access for consumers who live in communities that are not currently accepting K-Cup pods in their local recycling programs in late 2024.	S	Vague	No	Vague
Keurig Dr Pepper	20	These take-back programs help participants return their used K-Cup pods to be processed for recycling.	E	Vague	No	Vague
Keurig Dr Pepper	20	Brewer End-of-Life Partnership KDP Canada works with Quantum Lifecycle Partners to help recycle end-of-life assets like electronics, commercial Keurig brewers and in-store consumer brewer returns, resulting in 602,920 pounds of recovered resources diverted from landfill in 2024.	E	Vague	No	Vague
Keurig Dr Pepper	22	Our Human Rights Position Statement covers topics including discrimination and humane treatment, freedom of association and collective bargaining, child labor, working hours, wages and benefits, among others.	S	Vague	No	Vague
Keurig Dr Pepper	22	In addition, KDP is dedicated to transparency, accountability and continuous improvement with respect to human rights.	G	Vague	No	Vague
Keurig Dr Pepper	22	We provide a grievance mechanism open to employees and communities in our supply chain.	S	Vague	No	Vague
Keurig Dr Pepper	23	That specific context determines which of our complementary tools and approaches we prioritize to help safeguard fundamental human rights, incorporate environmental protections and/or invest to support the economic resilience of farmers and workers in our priority supply chains.	S	Vague	No	Vague
Keurig Dr Pepper	23	Agricultural Inputs We regard the coffee and cocoa we purchase for our owned and partner brands as Responsibly Sourced if it is grown and sold in adherence to a credible sourcing program that aligns with KDP’s Supplier Code of Conduct and industry-aligned ESG criteria11.	G	Vague	No	Vague
Keurig Dr Pepper	23	These projects aim to address the root causes of these issues, such as farmer profitability and climate change.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	23	Manufactured Inputs We also aim to responsibly source manufactured products and ingredients, such as apple juice concentrate (AJC), brewers, high-intensity sweeteners and tomato paste, by prioritizing and engaging key suppliers to implement and maintain effective social and environmental management systems in their factories.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	23	Economic Resilience for Farmers & Workers We remain steadfast in our commitment to help support farmer and worker livelihoods.	S	Vague	No	Vague
Keurig Dr Pepper	23	Informed by the lessons we have learned from decades-long work in this space, we are supporting economic resilience for farmers and workers via investments that aim to improve the security and stability of income or result in increased income.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	23	KDP supported improved economic resilience for 8,570 farmers and workers in our coffee supply chain by year-end 2024 across three impact programs, as described on page 24.	S	Strong	Yes	Supported
Keurig Dr Pepper	23	As such, we will continue to report the percentage of responsibly sourced coffee and cocoa annually, as well as our consolidated factory-based audit results, which cover brewers and other manufactured inputs.	G	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	23	In addition, we will disclose the progress we make on supporting the economic resilience of farmers and workers within our coffee supply chain.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	24	Specifically, the office provides local assistance to coffee suppliers, conducts testing, quality control and hosts educational events and trainings.	S	Vague	No	Vague
Keurig Dr Pepper	24	In addition, the office supports our responsible sourcing, market intelligence, governance and reporting efforts.	G	Vague	No	Vague
Keurig Dr Pepper	24	Ultimately, opening this office brings us closer to our Brazilian sourcing communities, a key sourcing origin for our business, enabling more transparency in the supply chain, stronger relationships and even better service delivery.	G	Vague	No	Vague
Keurig Dr Pepper	24	We advocated for continued support of public programs that further international agricultural research and global food security, including the Agriculture and Food Research Initiative, International Research Collaboration Programs and Feed the Future Innovation Labs, in 2024.	S	Vague	No	Vague
Keurig Dr Pepper	24	These programs supplement private sector investments to support smallholder farmers to responsibly increase farm productivity within critical food supply chains, including coffee.	S	Vague	No	Vague
Keurig Dr Pepper	24	In 2024, three of KDP’s investments in coffee origins helped support measurable progress toward improved economic resilience for farmers and workers in the projects described below.	S	Vague	No	Vague
Keurig Dr Pepper	24	However, lack of premium market access in Uganda has led to low investment in quality improvements, resulting in low and unstable income for farmers.	S	Vague	No	Vague
Keurig Dr Pepper	24	In partnership with our supplier, RGC Coffee, KDP has supported nearly 700 farmworkers in Antioquia, Colombia to access services and financial benefits that would otherwise have been out of reach.	S	Vague	No	Vague
Keurig Dr Pepper	24	This program supports farmworkers’ overall capacity to navigate any unplanned emergencies and identifies ways to improve their working conditions and broader well-being, making them a reliable and engaged workforce for farmers.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	25	Supporting consumers on their health and well-being journeys and providing transparency about our marketing practices, ingredients and product safety are fundamental to our business.	S	Vague	No	Vague
Keurig Dr Pepper	26	We actively participate in discussions with stakeholders aimed at replicating and accelerating initiatives designed to increase access to our full portfolio of products, including our low calorie, low sugar and nutritional offerings.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	26	We continue to advocate for informed consumer decision-making by providing transparent, straightforward and easily comprehensible information on our packaging and online.	E	Vague	No	Vague
Keurig Dr Pepper	26	In addition, we regularly engage with stakeholders such as investors, NGOs, public health groups and government agencies to identify and respond to any emerging issues, safety concerns or misleading information to protect the interests and well-being of our consumers.	S	Vague	No	Vague
Keurig Dr Pepper	26	Through our multi-year partnership, PHA is providing KDP health and well-being advice and annual validation of our positive hydration goal progress and marketing disclosure.	G	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	26	We also have compliance programs and review systems to implement KDP’s product safety and quality standards which are aligned to legal and regulatory requirements.	G	Vague	No	Vague
Keurig Dr Pepper	26	We have established several policies that outline our approach and reinforce our commitment to consumer health and well-being.	S	Vague	No	Vague
Keurig Dr Pepper	26	Specific to animal testing, we state in our Supplier Code of Conduct that our suppliers shall strive to avoid animal testing altogether.	G	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	26	Where it cannot be avoided, suppliers shall have a responsible animal testing policy and procedures in place.	G	Vague	No	Vague
Keurig Dr Pepper	27	With the achievement of our positive hydration goal in the U.S., we have been evaluating opportunities for positive impact in both the U.S. and Canada that are tailored to each distinct market reality, dynamic regulatory landscape and consumer needs.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	27	This work has led to the identification of key metrics that we will use to report progress tailored to the Canadian portfolio, market dynamics and regulatory environment.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	27	Positive hydration goal is for U.S. sales only; examples of products that meet these criteria include non-caloric coffees and teas, 100% fruit juice with no added sugar, low calorie energy and soft drinks and sparkling, still and functional waters.	E	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	28	Transparency We continued to host websites for the U.S. and Canada to provide detailed information about our products.	G	Vague	No	Vague
Keurig Dr Pepper	28	As participants, we comply with the advertising standards set in CFBAI’s Core Principles and report annually on our pledge not to engage in advertising directed to children 13 and under unless the product being advertised meets CFBAI’s strict nutrition criteria19.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	28	KDP complied with this commitment in 2024 and did not advertise to children under age 13, regardless of the product’s nutrition profile.	S	Vague	No	Vague
Keurig Dr Pepper	28	We continued our work to pursue safety and quality standards throughout product development, sourcing, manufacturing and commercialization for all beverages and Keurig coffee makers that we manufacture and market.	S	Vague	No	Vague
Keurig Dr Pepper	28	2024 Positive Hydration Expansion We expanded KDP’s portfolio of owned and partner brands with additional offerings that deliver zero calorie, zero sugar or nutritional and functional benefits through our Keurig coffee system, as well as acquisitions and investments across U.S. Refreshment Beverages.	S	Vague	No	Vague
Keurig Dr Pepper	30	Strategy We recognize that our employees make our success possible, so we strive to provide rich and meaningful career experiences to help attract, develop and retain a team of top beverage talent that embraces a challenger mindset.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	30	That is why we aim to create an environment where all of our employees can do their best work.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	30	Efforts in this area include our engagement survey, our recognition and listening programs and our Employee Resource Groups (ERGs).	S	Vague	No	Vague
Keurig Dr Pepper	30	We strive to offer our employees opportunities for growth, learning and becoming a key ingredient in the company’s growth.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	30	Efforts in this area include our learning and development programs, the talent management and performance management processes20 and our trainings for managers.	S	Vague	No	Vague
Keurig Dr Pepper	30	We celebrate the shared satisfaction in building a strong company with a bright future, and we strive to give our team members an understanding of how their roles fuel the success of the company and the communities we serve together.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	30	Efforts in this area include our community engagement programs and our employee communications efforts to ensure team members are up to date on our brand news and KDP Impact work.	S	Vague	No	Vague
Keurig Dr Pepper	30	Management Approach KDP’s cross-functional teams, including business leaders, Human Resources, Legal & Security, Operations and Corporate Affairs, collaborate to advance our Employee Health, Safety & Well- Being initiatives.	S	Vague	No	Vague
Keurig Dr Pepper	30	Specific to community engagement, we follow our Charitable Giving Guidelines and use the Benevity system to screen all community partners and ensure they are reputable, registered nonprofit organizations.	S	Vague	No	Vague
Keurig Dr Pepper	31	2024 Progress We continued our commitment to foster a strong, inclusive culture that values the voices and perspectives of all our team members.	S	Vague	No	Vague
Keurig Dr Pepper	31	With the aspiration to have top beverage talent with a challenger mindset, we supported our teams through competitive benefits, career development opportunities and a workplace culture built on safety, respect, inclusivity and trust.	S	Vague	No	Vague
Keurig Dr Pepper	31	We supported our team members with total rewards packages that provided eligible employees access to medical, dental, vision, life insurance, retirement benefits and disability benefits, as well as assistance with major life activities such as adoption, childbirth and back-up childcare, among other benefits.	S	Vague	No	Vague
Keurig Dr Pepper	31	We also confirmed our commitment to fair and equitable pay practices by conducting annual pay equity assessments.	S	Vague	No	Vague
Keurig Dr Pepper	31	These reviews help ensure parity across comparable roles and are aimed at identifying and eliminating any statistically significant gaps based on gender or race.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	31	In addition, KDP invested in continuous workplace safety programs and enabled conversations at the team level to help create a dynamic and rewarding workplace.	S	Vague	No	Vague
