n	Page	Sentence	verdict	category	esg_true	claim_type_true	admitted_by
19	11	Regenerative agriculture Scaling up adoption Scaling up adoption of regenerative agriculture in our Foods business and working across shared supply chains with other businesses that share our suppliers to amplify the impact of programmes.	non_claim	table_fragment	E	NA	topic:regenerat
20	12	Supporting the development of waste management infrastructure.	non_claim	table_fragment	E	NA	verb:support
21	13	Additionally, this time period reflects several of our targets, such as those pertaining to scope 3 emissions and plastics (see pages 229 and 243).	non_claim	methodology_definition	E	NA	filter_relaxed
22	13	However, impacts are considered as part of our impairment and viability assessments to ensure we are well placed to manage these risks and meet our obligations.	non_claim	risk_condition	E	NA	topic:sme + verb:ensur
23	14	■ Diseases and pests: Probability of pest/disease occurrence increases in line with maximum daily temperatures; pest sensitivities and yield losses are defined for each crop type; assessment informed by external literature and databases.	non_claim	methodology_definition	E	NA	topic:sme
24	15	Our assessment indicates this risk is especially elevated in OECD countries, where regulatory maturity is high and both coverage and costs are expected to increase to 2050.	non_claim	risk_condition	E	NA	topic:sme
25	15	To mitigate these risks, we are: Building resilience in our supply chain: Our supply chain and procurement teams manage a range of supply-related risks, including those influenced by climate factors, through established processes and an ongoing resilience programme implemented across all regions.	non_claim	risk_condition	E	NA	verb:implement/process
26	15	This programme includes structured risk assessment, early-warning practices and coordinated mitigation planning to support continuity of supply.	non_claim	risk_condition	E	NA	topic:sme + verb:support
27	15	See page 243 for details on our approach to reducing plastic-related regulatory risks.	non_claim	navigation	E	NA	filter_relaxed
28	16	To help manage this, we partner with KIS Group, a leading biogas provider in Asia, to secure biomethane supplies for the facility.	non_claim	activity_report	E	NA	verb:help/provid
29	16	Scope 3 (value chain) The table on page 229 demonstrates the contribution of our identified scope 3 decarbonisation levers towards our targeted GHG emissions reductions to 2030.	non_claim	navigation	E	NA	filter_relaxed
30	17	See page 243 for our Resource Use and Circular Economy disclosures.	non_claim	navigation	E	NA	filter_relaxed
31	17	Our report, Bold Plans, Real Impact, published in 2025, reinforces Unilever’s role in driving ambitious climate action.	non_claim	activity_report	G	NA	verb:publish
32	17	It examines 26 of the key trade associations Unilever works with to assess alignment on critical climate policy issues for 2024 and identify areas where additional engagement is required.	non_claim	activity_report	G	NA	verb:issu
33	18	Our targets that monitor how we are responding to our nature-related risks are set out within Biodiversity and Ecosystems on page 241.	non_claim	navigation	E	NA	filter_relaxed
34	18	Our GHG emissions for 2015 (scope 1 and 2) and 2021 (scope 3) were considered as representative of Unilever’s typical GHG emissions profile and form the baselines for our targets.	non_claim	methodology_definition	E	NA	filter_relaxed
35	18	The table below sets out our baseline emissions, the scope of our baseline emissions covered for each target and the absolute 2030 GHG emissions target value.	non_claim	navigation	E	NA	filter_relaxed
36	18	The table below shows the contribution of our identified decarbonisation levers towards reducing our scope 3 baseline emissions and our forecasted scope 3 GHG emissions from volume growth in the period to 2030, as modelled in our 2024 Climate Transition Action Plan (CTAP), i.e.	non_claim	navigation	E	NA	filter_relaxed
37	18	(c) Represents 15.7m CO2eT of total reductions by 2030 vs. 2021 baseline plus additional reductions to cater for emissions from growth in the period 2021–2030.	non_claim	methodology_definition	E	NA	filter_relaxed
38	18	Scope 1 and 2 target performance The percentage change in scope 1 and 2 market-based GHG emissions is the difference between the current reporting period and the 2015 baseline period (1 October 2014 to 30 September 2015).	non_claim	methodology_definition	E	NA	filter_relaxed
39	19	FLAG emissions relate to GHG Protocol Category 1 – ingredients purchased by Unilever and CMs in India.	non_claim	methodology_definition	E	NA	verb:purchas
40	19	Allocation to Ice Cream: Ingredients and packaging purchased and used by Unilever are estimated based on proportion of ingredient and packaging materials used in Ice Cream finished goods, using information such as product recipes and production volumes.	non_claim	methodology_definition	E	NA	verb:purchas
41	19	This is a significant improvement from 2024 and marks a key milestone towards advancing the representativeness of our GHG data, as detailed on page 227.	non_claim	methodology_definition	E	NA	filter_relaxed
42	19	Our reliance on purchased material volumes for GHG accounting makes it difficult to isolate the impact of specific reformulation initiatives.	non_claim	methodology_definition	E	NA	verb:purchas
43	20	We do not have material emissions related to associates, joint ventures, unconsolidated subsidiaries, or contractual arrangements where we have operational control.	non_claim	methodology_definition	E	NA	verb:we do not
44	20	Scope 1 factors are provided by the IPCC, and scope 2 factors are based on Renewable Energy Attribute Certificates or supplier data, following the GHG Protocol’s scope 2 market-based method.	non_claim	methodology_definition	E	NA	verb:certif/provid
45	20	When Energy Attribute Certificates (EACs) are applied, electricity consumption is reported as renewable with an emission factor of zero.	non_claim	methodology_definition	E	NA	verb:certif
46	20	■E&I: Emissions from converting or processing agricultural raw materials into purchased materials, from farm to Unilever site.	non_claim	methodology_definition	E	NA	verb:purchas/process
47	20	Supplier product carbon footprint data: These are received annually directly from suppliers participating in the Supplier Climate Programme and internally validated.	non_claim	methodology_definition	E	NA	verb:receiv
48	20	FLAG and E&I emission factors for relevant materials are obtained from the eQosphere database where available (provided by Quantis).	non_claim	methodology_definition	E	NA	verb:provid
49	20	Indirect procurement: Scope 1, 2 and 3 emissions from purchased goods and services not for resale, such as media placement and IT services.	non_claim	methodology_definition	E	NA	verb:purchas
50	20	This data is consolidated and extrapolated across the sales of unclustered products at a category and country level to calculate total emissions of the 13 countries.	non_claim	methodology_definition	E	NA	unit
51	20	Other key assumptions For subsidiaries that do not report in Unilever systems, we calculate total emissions (tCO2e) for purchased goods and services per Business Group divided by total Unilever turnover per Business Group (excluding these entities), multiplied by turnover for these entities.	non_claim	methodology_definition	E	NA	verb:purchas
52	21	Scope 3 emissions – Category 1: Ingredients and packaging purchased and used by Unilever: estimated based on proportion of ingredient and packaging materials used in Ice Cream finished goods, using information such as product recipes and production volumes.	non_claim	methodology_definition	E	NA	verb:purchas
53	21	See Scope 3 target performance.	non_claim	navigation	E	NA	filter_relaxed
54	21	(e) Scope 1 emissions regulated by trading schemes amounted to 4.5% in 2025 (2024: 4.2%, 2023: 3.8%).	claim	genuine_property	E	Strong	filter_relaxed
55	21	In 2025, scope 1 and 2 emissions amounted to 0.54 MtCO2 (2024: 0.47 MtCO2).	claim	genuine_result	E	Strong	filter_relaxed
56	22	Unilever-purchased Energy Attribute Certificates (EACs) are matched against electricity consumption and reported as renewable, following RE100 Reporting Guidance 2022.	non_claim	methodology_definition	E	NA	verb:purchas/certif
57	23	Internal carbon pricing We believe the use of internal carbon pricing can be important in signalling support for carbon pricing as a policy instrument.	non_claim	advocacy_opinion	E	NA	verb:support
58	24	Consideration of microplastics resulting from our packaging is detailed in our Resource Use and Circular Economy disclosures on page 243.	non_claim	navigation	E	NA	filter_relaxed
59	24	However, our Responsible Partner Policy (RPP) expects our business partners to put in place appropriate policies, processes and procedures to address environmental issues.	non_claim	policy_content	E	NA	verb:process/issu/in place
60	24	The framework sets out steps for sites to identify and implement actions addressing pollution-related impacts.	non_claim	policy_content	E	NA	verb:implement
61	24	We seek to minimise pollution by tracking relevant pollutants to air, water and soil, and implementing both normal operating and emergency control measures.	claim	genuine_property	E	Vague	verb:implement
62	24	Each relevant site performed a gap assessment against the standard and actions are in the process of being agreed where improvements are needed.	claim	genuine_property	E	Vague	topic:sme
63	24	We expect suppliers in our upstream value chain to meet or exceed the mandatory requirements of the RPP by implementing appropriate policies, management systems and practices.	non_claim	policy_content	E	NA	topic:rpp + verb:implement/exceed
64	24	We promote sustainable and regenerative agriculture practices in our supply chain through the implementation of the Sustainable Agricultural Principles (SAP) and regenerative agriculture programmes.	claim	genuine_property	E	Vague	verb:implement
65	24	Our actions on ingredient use are supported by the expertise of our Safety, Environmental & Regulatory Science group – our global centre of excellence in safety and sustainability science – as well as our Regulatory Affairs team.	non_claim	governance_role	E	NA	verb:support
66	24	We monitor emissions from our sites at a local level to ensure compliance with legal requirements and permits.	claim	genuine_property	E	Vague	verb:ensur/compl
67	24	Our manufacturing sites are also reviewed through internal compliance audits and audited by Corporate Audit.	claim	genuine_property	G	Vague	verb:compl
68	25	Each year, Unilever reviews the emissions volumes of pollutants listed in Annex II of Regulation (EC) No 166/2006 to ensure those near or above threshold levels are sampled, tested or estimated.	non_claim	methodology_definition	E	NA	verb:ensur
69	25	For sites without sampled data, estimates are based on proxy data from sampled sites using statistical modelling reviewed by external experts or, for air pollutants from energy combustion, on published emission factors.	non_claim	methodology_definition	E	NA	verb:publish
70	25	Emissions are reported irrespective of any further downstream processing at treatment plants, such as municipal water treatment or certified waste management.	non_claim	methodology_definition	E	NA	verb:process/certif
71	26	For example, innovating water-smart products that help consumers use less water is considered as part of our Business Group R&D strategies.	claim	genuine_property	E	Vague	verb:help
72	26	We do not have specific policies to manage changes in product demand resulting from changes in water access, including product design policies.	non_claim	other_nonclaim	E	NA	verb:we do not
73	26	Our business partners in our value chain are expected to comply with the mandatory requirements of the RPP, including water-related requirements.	non_claim	policy_content	E	NA	verb:compl
74	26	Business partners must create a Corrective Action Plan to address issues identified during third-party audits, and we encourage suppliers to contact Unilever for guidance where they face challenges in meeting our requirements.	non_claim	policy_content	G	NA	verb:issu
75	26	We continue to implement water stewardship programmes in water- stressed areas where we have manufacturing sites.	claim	genuine_property	E	Vague	verb:implement
76	26	Within our upstream value chain, we manage water risk through our RPP and verify compliance with its mandatory requirements and management systems as described above.	claim	genuine_property	E	Vague	verb:compl/verif
77	26	Water-stressed areas are those with ’high’ or ’extremely high’ baseline water stress, as determined based on the WRI Aqueduct Water Risk Atlas tool, or, by exception, based on Unilever’s additional review of site-specific factors and localised water risks to complement the WRI data and ratings.	non_claim	methodology_definition	E	NA	verb:compl
78	26	Programmes must be implemented within the catchment of a Unilever water-stressed location, operate in line with either the Alliance for Water Stewardship Standard or the Prabhat approach, and be approved by a Unilever authority.	non_claim	methodology_definition	E	NA	verb:implement
79	28	To help inform the development of our strategy, we reviewed climate and nature risks across our business model and value chain.	non_claim	activity_report	E	NA	verb:help
80	28	For example, we support independent palm smallholders through the creation of development hubs that coordinate activities to improve farm productivity and ecosystem protection and restoration.	claim	genuine_property	E	Vague	topic:smallholder
81	28	We do not have specific sustainable oceans/seas practices or policies.	non_claim	other_nonclaim	E	NA	verb:we do not
82	29	The programmes are designed to address the most material environmental and climate issues faced by farmers, with practices selected to fit local context and farmer knowledge.	claim	genuine_property	E	Vague	verb:issu
83	29	Every project includes a range of relevant metrics covering biodiversity, climate and other ecosystem changes via our Measure, Report, Verify (MRV) framework, which generates output- and outcome-level data annually.	non_claim	methodology_definition	E	NA	verb:verif
84	29	Complementary to the programme, Unilever is working with independent mills to build a linkage between the mills, their smallholder supply base and our supply chain.	non_claim	activity_report	E	NA	topic:smallholder + verb:compl
85	29	Local and Indigenous knowledge is integrated into our smallholder programme at every phase, including programme design and smallholder engagement, to support comprehensive land mapping and evaluation processes.	claim	genuine_property	S	Vague	topic:smallholder
86	29	They incorporate Indigenous knowledge by partnering with local communities, through activities including joint programme design, mapping of customary areas and supporting traditional forest management practices.	claim	genuine_property	S	Vague	verb:support
87	29	This included wider calls for alignment between national climate and nature agendas, and greater focus on nature-based solutions that support decarbonisation efforts while offering potential benefits for livelihoods and wider landscapes.	non_claim	activity_report	E	NA	verb:support
88	30	We set targets for both our regenerative agriculture and protect and restore programmes based on exposure to land and our key crops sourcing footprint, which we estimate at 4 million hectares.	non_claim	methodology_definition	E	NA	topic:hectare/regenerat
89	30	Allocation to Ice Cream Implement regenerative agriculture practices: Programmes funded by or associated to an Ice Cream brand.	non_claim	methodology_definition	E	NA	topic:regenerat + verb:implement
90	31	Sites qualify as global KBAs by meeting one or more of 11 criteria in five categories: threatened biodiversity; geographically restricted biodiversity; ecological integrity; biological processes; and irreplaceability.	non_claim	methodology_definition	E	NA	verb:process
91	31	(c) During the reporting period, 5 sites were transferred to Ice Cream which covered an area of 42 hectares.	non_claim	methodology_definition	E	NA	topic:hectare + unit
92	32	The table below demonstrates how these policies address our material risks and impacts in relation to resource use and circular economy.	non_claim	navigation	E	NA	filter_relaxed
93	32	Unilever’s policies regarding the sustainable sourcing of raw materials are detailed in our Biodiversity and Ecosystems section on page 239.	non_claim	navigation	E	NA	filter_relaxed
94	32	Our sites follow a framework to identify and implement actions to address negative waste-related impacts.	claim	genuine_property	E	Vague	verb:implement
95	32	The standard mandates the application of the waste hierarchy, engaging employees on waste management principles and auditing of our waste service providers.	claim	genuine_property	E	Vague	verb:provid
96	32	In 2025, site gap assessments against the standard were undertaken and actions are in the process of being agreed to close gaps where relevant.	non_claim	activity_report	E	NA	topic:sme + verb:process
97	32	Within our value chain, business partners are expected to comply with the mandatory requirements of our Responsible Partner Policy (RPP), including hazardous waste management requirements.	non_claim	policy_content	E	NA	verb:compl
98	32	We expect business partners to create a Corrective Action Plan to address any issues identified during third-party audits.	non_claim	policy_content	G	NA	verb:issu
99	33	2019 plastic packaging volumes are estimated by country and Business Group, based on the volume of plastic purchased in 26 countries in 2023 and the ratio of 2019 and 2023 total product sales volumes.	non_claim	methodology_definition	E	NA	verb:purchas
100	33	The 2019 recycled plastic purchased is estimated based on monthly demand by region.	non_claim	methodology_definition	E	NA	verb:purchas
101	33	Allocation to Ice Cream: Plastic packaging volumes purchased are estimated based on proportion of finished goods volumes categorised as Ice Cream products, using information such as product recipes and production volumes.	non_claim	methodology_definition	E	NA	verb:purchas
102	33	■Recyclable plastic packaging: technically possible to recycle and has proven commercial viability for plastics processors to recycle the material in the region where it is sold.	non_claim	methodology_definition	E	NA	verb:process
103	33	■Plastic packaging collected through activities directly funded by Unilever, tracked by country through invoices, contracts or other written confirmation from the relevant supplier organisations.	non_claim	methodology_definition	E	NA	verb:collect
104	33	Bottle collection is excluded to prevent double-counting with post- consumer recycled plastic packaging purchased by Unilever.	non_claim	methodology_definition	E	NA	verb:purchas/collect
105	33	This progress was driven by packaging that introduced or expanded the use of recycled plastics and the demerger of our Ice Cream business, as Ice Cream products typically contain less recycled plastic than other parts of Unilever’s portfolio.	non_claim	other_nonclaim	E	NA	verb:expand/introduc
106	34	■Packaging materials include plastic, paper and board, glass and aluminium, and both virgin and secondary materials (materials derived from the recycling of primary materials that are reprocessed and then reused).	non_claim	methodology_definition	E	NA	verb:process
107	34	■Water is used as an ingredient in our products and for our manufacturing processes.	non_claim	methodology_definition	E	NA	verb:process
108	34	Raw and packaging materials purchased by Unilever and packaging materials purchased by collaborative manufacturers (CMs) supplying Unilever’s Business Groups are recorded based on supplier invoices and product specification information.	non_claim	methodology_definition	E	NA	verb:purchas
109	34	Allocation to Ice Cream: Raw and packaging materials volumes purchased by Unilever are estimated based on proportion of raw and packaging materials used in Ice Cream finished goods, using information such as product recipes and production volumes.	non_claim	methodology_definition	E	NA	verb:purchas
110	34	Raw and packaging materials volumes purchased by CMs are allocated based on finished goods supplied by CMs categorised as Ice Cream products.	non_claim	methodology_definition	E	NA	verb:purchas
111	34	Product and material metrics Measured based on tonnes of packaging materials purchased for Unilever operations and collaborative manufacturing.	non_claim	methodology_definition	E	NA	verb:purchas
112	34	Packaging materials purchased by Unilever and collaborative manufacturers supplying Unilever’s Business Groups are recorded based on supplier invoices and product specification information.	non_claim	methodology_definition	E	NA	verb:purchas
113	34	Allocation to Ice Cream: Packaging material volumes purchased by Unilever are estimated based on proportion of packaging materials used in Ice Cream finished goods, using information such as product recipes and production volumes.	non_claim	methodology_definition	E	NA	verb:purchas
114	34	Packaging material volumes purchased by CMs are allocated based on finished goods supplied by CMs categorised as Ice Cream products.	non_claim	methodology_definition	E	NA	verb:purchas
115	35	Our plastic packaging actions and ’actual recyclability’ goals are outlined on page 243.	non_claim	navigation	E	NA	filter_relaxed
116	35	Product and material metrics (%) 2025 2024(a) Rate of recyclable content in packaging materials used 80% 78% Ice Cream product and material metrics (%) Rate of recyclable content in packaging materials used 79% — (a) 2024 measured including Ice Cream.	non_claim	table_fragment	E	NA	filter_relaxed
117	35	Waste Description of waste composition Waste streams relevant to the consumer goods sector include waste from industrial processes, food and packaging.	non_claim	methodology_definition	E	NA	verb:process
118	35	Materials present in the waste generated by Unilever include raw materials used to manufacture products in various stages of processing, such as food ingredients; packaging materials, such as plastic and paper; and waste from production processes, such as boiler ash.	non_claim	methodology_definition	E	NA	verb:process
119	35	This is based on documentation, provided by waste service providers, which breaks down the type of waste that has been collected, the amount and the waste management route.	non_claim	methodology_definition	E	NA	verb:collect/provid
120	36	In preparing our 2025 disclosure, we have followed the guidance provided by the European Union on treating turnover and capital expenditure from disposal groups and discontinued operations.	non_claim	methodology_definition	E	NA	verb:provid
121	36	Categories which were deemed immaterial included, but were not limited to, clean energy generation and distribution, low-emission transport, circular economy processes, and resilient water and waste-management infrastructure.	non_claim	methodology_definition	E	NA	verb:process
122	38	Consideration is given to our enterprise risk management processes and principal risks, including those relating to talent and the quality and safety of our products.	non_claim	methodology_definition	S	NA	verb:process
123	38	We regularly review human rights issues to ensure our approach remains focused on saliency.	claim	genuine_property	S	Vague	verb:ensur/issu
124	38	Our most recent assessment, conducted in 2023 with input from key rightsholder groups (including our affected communities), evaluated both existing and emerging human rights issues.	non_claim	activity_report	S	NA	verb:conduct/issu
125	38	The assessment identified the following as our salient human rights issues: ■Bullying and harassment; ■Discrimination; ■Fair wages and income; ■Forced labour; ■Freedom of association and collective bargaining; ■Health; ■Land rights (including Indigenous Peoples’ rights); and ■Working hours.	non_claim	methodology_definition	S	NA	verb:collect/issu
126	38	While child labour is not one of Unilever’s global salient human rights issues, it remains a key focus in specific regions and commodities where it is identified to be high risk, such as cocoa and vanilla.	claim	genuine_property	S	Vague	verb:issu
127	38	In developing strategies to address our salient issues, we consider the influence of climate change and gender on their impacts, their prevalence within our global value chain, and take the appropriate action.	non_claim	methodology_definition	S	NA	verb:issu
128	38	Our overarching approach seeks to prevent potential impacts from becoming actual impacts, while monitoring new and emerging human rights issues.	non_claim	methodology_definition	S	NA	verb:issu
129	38	These strategies are supported by our Unmissable Brand Superiority framework and the 6Ps – product, packaging, proposition, promotion, place and pricing – which drive brand innovation.	non_claim	other_nonclaim	S	NA	verb:support
130	38	Ensuring product safety is fundamental to our business, and involves evaluating raw materials, product design and development, and manufacturing processes, with special consideration for vulnerable populations where relevant.	claim	genuine_property	S	Vague	verb:process/ensur
131	38	We recognise the importance of cultivating a strong reputation for talent and skills development to help position Unilever as a top employer.	non_claim	advocacy_opinion	S	NA	verb:help
132	38	In workplaces, discrimination may occur in the processes leading up to hiring and following termination of employment, as well as during employment.	non_claim	risk_condition	S	NA	verb:process
133	39	Providing employees and workers in the value chain with fair wages or incomes, including payment of a living wage, can have a significant impact on their livelihoods.	non_claim	advocacy_opinion	S	NA	verb:provid
134	39	Negative impacts on health may occur within our own operations, value chain and communities in which we operate, including from work process violations and unsafe working conditions.	non_claim	risk_condition	S	NA	verb:process
135	39	A fair wage or income supports an individual’s right to adequate living standard and is determined using multiple dimensions, including consideration of the hours worked, the pay systems used, the information workers receive in advance about their pay, and how this information is communicated.	non_claim	methodology_definition	S	NA	verb:receiv/support
136	40	■Value chain: Our upstream value chain includes workers employed by our business partners, including manufacturing facilities, laboratories and refineries, professional service providers, agricultural workers and smallholder farmers growing and harvesting crops for use as ingredients in our products.	non_claim	methodology_definition	S	NA	verb:provid
137	40	We initiated a comprehensive review of our sustainability and human rights policy framework in 2025 to ensure alignment with emerging legislation and external benchmark standards.	non_claim	activity_report	G	NA	verb:ensur
138	40	The Human Rights Principles established within the RPP are consistent with applicable relevant ILO Conventions and cover all of our salient human rights issues, including forced labour (human trafficking), and child labour.	claim	genuine_property	S	Vague	verb:issu
139	40	The results determine which business partners require external auditing and specific engagement; for high-risk sites, either a site audit or a desktop assessment verifies supplier compliance with RPP requirements.	claim	genuine_property	S	Vague	verb:compl/verif
140	41	Our global team of Human Rights experts identifies emerging issues for the ULE to consider.	non_claim	governance_role	S	NA	verb:issu
141	41	We monitor potential and existing human rights issues in conflict-affected and high-risk areas (CAHRAs).	claim	genuine_property	S	Vague	verb:issu
142	41	Central functions such as Sustainability, Procurement and Legal teams provide guidance and support in addressing our salient human rights issues.	non_claim	governance_role	S	NA	verb:issu/support/provid
143	41	We also engage with rightsholders via grievance mechanisms to understand concerns and issues and, where appropriate, provide remedy.	claim	genuine_property	S	Vague	topic:grievance + verb:issu/provid
144	41	This session provided a platform for open dialogue on emerging human rights issues and trends, and for gathering views and insights on strengthening our approach to HRDD.	non_claim	activity_report	S	NA	verb:issu/provid
145	41	We support independent palm smallholders through the creation of development hubs in partnership with SNV, Forum Konservasi Leuser and World Resources Institute.	claim	genuine_property	S	Vague	topic:smallholder
146	41	This initiative supports both our value chain and the broader community in which we operate.	non_claim	advocacy_opinion	S	NA	verb:support
147	41	The Business Integrity team, supported by Human Rights and other subject matter experts, oversees procedures and controls to prevent, detect and respond to human rights impacts in our operations.	non_claim	governance_role	S	NA	verb:support
148	41	Tools support risk analysis at country and commodity levels to better understand potential impacts on value chain workers.	non_claim	activity_report	S	NA	verb:support
149	41	This data is used to estimate the likelihood of impacts and identify areas where further verification, such as desktop or on-the-ground audits, may be required.	non_claim	methodology_definition	S	NA	verb:verif
150	41	Risk assessment is integral to our mergers and acquisitions process.	claim	genuine_property	S	Vague	topic:sme + verb:process
151	41	Taking action to address human rights impacts Unilever responds to identified negative human rights impacts by considering factors such as the location of the issue (own operations or value chain) and our leverage.	non_claim	methodology_definition	S	NA	verb:issu
152	41	A structured approach has been created to address human rights impacts through our salient issue frameworks.	non_claim	activity_report	S	NA	verb:issu
153	41	■Partnering with Coca-Cola, the International Organization for Migration, and diginex, supported by the Bonsucro Impact Fund, to gather insights from sugarcane sector workers.	non_claim	activity_report	S	NA	verb:support
154	42	See page 266 for further details about our Business Integrity processes, including our non-retaliation policies.	non_claim	navigation	G	NA	verb:process
155	42	While Unilever grievance mechanisms are in place, we believe issues are best addressed close to where the impact occurred.	non_claim	advocacy_opinion	S	NA	topic:grievance + verb:issu/in place
156	42	Our approach is to work with partners to ensure they have effective and trusted grievance mechanisms for their workers.	claim	genuine_property	S	Vague	verb:ensur
157	42	Our RPP expects business partners to have grievance mechanisms aligned with the UNGPs and follow leading practices, including clear communication and accessibility for local communities to report issues.	non_claim	policy_content	S	NA	verb:issu
158	42	Within our value chain, issues impacting affected communities may also be identified through these audits, as described in the section ‘Tracking and monitoring effectiveness of actions’.	non_claim	methodology_definition	S	NA	verb:issu
159	42	We work with business partners and other stakeholders as needed and engage with rightsholders to better understand the impact and ensure remediation actions meet the needs of the affected individual or community.	claim	genuine_property	S	Vague	verb:ensur/we work with
160	42	Our RPP Implementation Guidance provides resources to support business partners in remedying issues.	non_claim	activity_report	S	NA	topic:rpp
161	42	We also have processes that alert us to potential and actual human rights impacts in our own operations, value chain and in communities in which we operate, via public reports and media coverage.	claim	genuine_property	S	Vague	verb:process
162	42	We periodically publish the findings of business partner audit reports, with the last report published in 2023.	claim	genuine_property	G	Strong	verb:publish
163	42	We publish regular updates on our actions to manage potential and actual human rights impacts through our website at unilever.com.	claim	genuine_property	G	Vague	verb:publish
164	42	With respect to affected communities, reported grievances are recorded in our People and Nature Grievance Tracker and we publish details on our website.	claim	genuine_property	S	Vague	verb:publish
165	42	This helps us to track grievances and the effectiveness of our responses to them.	non_claim	advocacy_opinion	S	NA	topic:grievance + verb:help
166	42	With respect to consumers and end-users, we consider health as the salient human rights issue most relevant to our consumers, which is managed through our product safety and risk assessment processes.	non_claim	methodology_definition	S	NA	verb:process/issu
167	43	(c) 2024 incidents relate to cases identified through 2023 RPP audit data.	non_claim	methodology_definition	S	NA	unit
168	44	At a market level, we hold regular, local leader-led virtual town hall meetings to engage employees on relevant topics and issues.	claim	genuine_property	S	Vague	verb:issu
169	44	Rights-based discussions were central to the agenda, covering topics such as freedom of association and collective bargaining, precarious employment and job security, restructuring and reorganisation impacts, and occupational health and safety in line with ILO Convention 155.	non_claim	activity_report	S	NA	verb:collect
170	44	Effectiveness of engagement We provide regular updates on workforce engagement activities at Board meetings to ensure employee feedback informs decision-making where appropriate.	non_claim	governance_role	S	NA	verb:ensur/provid
171	44	This includes completion rates and outcomes of key engagement surveys, and informal feedback from employees on the effectiveness of engagement sessions.	non_claim	governance_role	S	NA	verb:compl
172	44	Processes to remediate impacts and channels to raise concerns Unilever’s Speak Up processes and remediation mechanisms are detailed in our Governance section on page 266.	non_claim	navigation	G	NA	verb:process
173	44	In addition to the Speak Up channels, we have established formal processes globally to handle HR grievances relating to a variety of workplace concerns.	claim	genuine_property	S	Vague	topic:grievance/speak up + verb:process
174	44	All material issues are channelled through the Speak Up process and tracked to closure.	claim	genuine_property	G	Vague	topic:speak up + verb:process/issu
175	44	Any HR grievances that are not escalated through the Speak Up channels, i.e.	non_claim	methodology_definition	S	NA	topic:grievance/speak up
176	45	This refreshed approach ensures a strong talent pipeline, following our 2024–2025 global reorganisation, by identifying and accelerating key talent and strengthening succession plans at senior leadership levels.	non_claim	activity_report	S	NA	verb:ensur
177	45	In 2025, we introduced a data-driven process to better align talent with value, pinpointing our highest-impact roles and the people best positioned to grow into them.	non_claim	activity_report	S	NA	verb:process/introduc
178	45	In 2025, training included: ■Artificial Intelligence (AI): We provided comprehensive training across business groups, geographies and functions.	claim	genuine_property	S	Vague	verb:train/provid
