Company	Page	Sentence	Drop_Reason
Keurig Dr Pepper	3	While the landscape and operating context may change, we continue to focus on action and impact where we can uniquely make a difference, whether through our business or through our strong partnerships.	not_assertion
Keurig Dr Pepper	3	As the disruptor in the beverage category, our world class team brings a challenger mindset to our Impact work, as they do across the business.	not_assertion
Keurig Dr Pepper	3	We are always learning and improving — working to make a positive difference on the lives we touch.	not_assertion
Keurig Dr Pepper	3	TIM COFER Chief Executive Officer MONIQUE OXENDER Chief Corporate Affairs & Sustainability Officer DRINK WELL.	not_assertion
Keurig Dr Pepper	3	DO GOOD.	length
Keurig Dr Pepper	3	• Great brands: From familiar favorites to tomorrow’s emerging essentials, we offer more than 125 iconic brands consumers love and trust.	not_assertion
Keurig Dr Pepper	3	• Great experiences: Our beverages enhance life’s drinkable moments — turning a foggy morning into a brighter day, providing a treat at just the right moment and bringing us together with friends and family.	not_assertion
Keurig Dr Pepper	3	• Great impact: We make a positive difference on the lives we touch — our consumers, employees, business partners and communities — all supported by a rich, multi-year social and environmental agenda.	not_assertion
Keurig Dr Pepper	3	2024 KEURIG DR PEPPER IMPACT REPORT 3 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	navigation
Keurig Dr Pepper	4	Our Company KDP is a leading beverage company in North America, with a portfolio of more than 125 owned, licensed and partner brands and powerful distribution capabilities to provide a beverage for every need, anytime, anywhere.	not_assertion
Keurig Dr Pepper	4	#1 single-serve coffee brewing systems in the U.S. and Canada #1 flavored carbonated soft drinks (CSD) in the U.S. and Canada; #2 in Mexico #2 premium waters in the U.S.; #1 mineral water in Mexico #3 shelf-stable premium ready-to-drink teas in the U.S. #1 apple juice in the U.S.; #1 tomato seafood cocktail in Canada and Mexico #1 mixers in the U.S.; #1 low alcohol cocktail in Canada NORTH AMERICAN CATEGORY LEADERSHIP IN 20241 $15.4B TOTAL NET SALES $9.3B U.S. Refreshment Beverages $4.0B U.S. Coffee $2.1B International STRATEGIC FRAMEWORK Drink Well.	length
Keurig Dr Pepper	4	A beverage for every need, anytime, anywhere Top beverage talent with a challenger mindset Team First • Deliver Big • Think Bold • Be Fearless and Fair Champion consumer-obsessed brand building Shape our now and next portfolio Amplify our route to market advantage Generate fuel for growth Dynamically allocate capital American Opportunity Index Top 100 Employers of Choice CNBC JUST Capital Most Just Companies Dow Jones Best in Class Index Forbes America’s Best Large Employers Mexico Center of Philanthropy (ESR)’s Best Socially Responsible Companies Fortune’s Most Admired Companies Canada’s Top 100 Employers Newsweek America’s Most Responsible Companies TIME World’s Best Companies USA TODAY America’s Climate Leaders 2024 AWARDS & RECOGNITION Our Purpose Our Vision Our Strategies Our Culture 2024 KEURIG DR PEPPER IMPACT REPORT 4 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	5	Rooted in action, realized through partnerships and measured in results, we focus our efforts in the areas where we can contribute to meaningful change.	not_assertion
Keurig Dr Pepper	5	KDP’s seven Key Impact Areas are as follows: • Climate & Nature Action • Water Use & Stewardship • Packaging & Circular Economy • Human Rights, Responsible Sourcing & Supply Chain Livelihoods • Consumer Health & Well-Being • Employee Health, Safety & Well-Being • Corporate Governance & Ethics We are committed to transparency and disclosure of our strategies, programs, progress and governance.	length
Keurig Dr Pepper	5	KDP IMPACT COMMITMENTS We are proud of the significant progress we have made towards a range of goals set six years ago.	not_assertion
Keurig Dr Pepper	5	In calendar year 2025, we have reached a natural and anticipated point of reflection and are evolving our commitments to be even more focused and specific in the areas where we are uniquely positioned to maximize action and impact.	not_assertion
Keurig Dr Pepper	5	Our targets and disclosures are aligned to the recently updated ESG double materiality assessment and acknowledge operational and systemic realities.	methodology
Keurig Dr Pepper	5	See our KDP Impact Commitments Summary for more information.	not_assertion
Keurig Dr Pepper	5	ESG MATERIALITY In 2024, we performed an Environmental, Social and Governance (ESG) double materiality2 analysis using guidance from the European Sustainability Reporting Standards (ESRS) to identify and understand the social and environmental issues that are most important to our organization and stakeholders.	not_assertion
Keurig Dr Pepper	5	The outcome of this process was our ESG materiality matrix, which outlines a total of 25 topic areas that were mapped to over 100 impact, risk and opportunity statements scored by both internal and external stakeholders in relation to importance to the environment and society and impact to the business.	length
Keurig Dr Pepper	5	We supplement this with our up-to-date understanding of our material ESG issues through ongoing dialogue and engagement with key stakeholders as well as continuous monitoring of evolving sustainability issues and macroeconomic events globally.	not_assertion
Keurig Dr Pepper	5	The high impact topics identified in our matrix remain aligned with our KDP Impact Areas and will continue to play a prominent role in our strategies and related programs and policies.	not_assertion
Keurig Dr Pepper	5	We also use these responses to validate priorities and identify gaps while meeting disclosure standards.	not_assertion
Keurig Dr Pepper	5	THE UNITED NATIONS SUSTAINABLE DEVELOPMENT GOALS The UN SDGs were developed to address the global challenges facing our world and represent the transformative power of collective action.	general_statement
Keurig Dr Pepper	5	KDP Impact Areas are aligned with the UN SDGs most relevant to our business.	not_assertion
Keurig Dr Pepper	5	Zero Hunger Good Health and Well-Being Clean Water and Sanitation Decent Work and Economic Growth Responsible Consumption and Production Climate Action Partnerships for the Goals Data Privacy Employee Wellness Freedom of Association & Collective Bargaining Diversity & Inclusion Responsible Marketing Human Rights Deforestation Greenhouse Gas (GHG) Emissions Energy Use/ Renewable Energy Business Continuity/ Resiliency Advocacy & Public Policy Transportation Emissions Regenerative Agriculture Land Use/Land Rights Water Use & Stewardship Pollution Responsible Sourcing Biodiversity Supply Chain Livelihoods Employee Health & Safety Community Development Product Quality & Safety Consumer Health & Well-Being Corporate Governance & Ethics Product Design & Circular Economy Importance & Impact on KDP’s Business Impact of KDP on the Environment, People & Economy 2024 KEURIG DR PEPPER IMPACT REPORT 5 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	6	CLIMATE & NATURE ACTION Climate and nature action is essential for addressing climate change and building resilience for communities and the future of our business.	not_assertion
Keurig Dr Pepper	6	KEY HIGHLIGHTS • Achieved Goal: Engaged bottlers and select suppliers representing 50% of Scope 3 emissions to set a science- based target • 21% reduction in combined Scope 1 and 2 emissions, compared to the 2018 baseline • 85% electricity obtained from renewable sources in 2024 • Increased KDP Canada’s electric fleet inventory to 45 vehicles, representing nearly 20% of our total Canadian fleet • Updated our 2030 GHG emissions-reduction targets validated by the Science-Based Target initiative (SBTi) to align to the Paris Agreement climate change goal of limiting global warming to 1.5ºC above pre-industrial levels • Supported regenerative agriculture and conservation on 129,013 acres of land since 2022, attaining the halfway point of our goal Read more: Goal Methodology & Progress Summary 2024 KEURIG DR PEPPER IMPACT REPORT 6 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	7	Strategy As a leading beverage company, KDP recognizes the risks that climate change presents to people and the planet.	not_assertion
Keurig Dr Pepper	7	Addressing climate change and its impacts on nature is complex and requires scalable systems changes.	general_statement
Keurig Dr Pepper	7	Core to our approach is the use of credible standards, robust disclosures, intentionally designed roadmaps to goals, public policy support and collective action.	general_statement
Keurig Dr Pepper	7	We assess climate change risks most important to our business via a climate scenario analysis and a fleet operations assessment.	not_assertion
Keurig Dr Pepper	7	This helps us identify opportunities and implement climate mitigation measures for the communities and regions in which we operate.	not_assertion
Keurig Dr Pepper	7	More details can be found in our CDP Climate Disclosure and our Task Force on Climate- related Financial Disclosures (TCFD).	not_assertion
Keurig Dr Pepper	7	In addition, we focus on climate adaptation specifically in farming communities.	not_assertion
Keurig Dr Pepper	7	Our approach is to work with partners to support regenerative agriculture and conservation initiatives within our coffee, corn and apple supply chains.	not_assertion
Keurig Dr Pepper	7	To measure progress toward our regenerative agriculture and conservation goal, we have developed an outcomes-based methodology outlined in KDP’s Regenerative Agriculture & Conservation Monitoring & Evaluation Guide.	not_assertion
Keurig Dr Pepper	7	Collective action is critical in addressing climate change impacts.	not_assertion
Keurig Dr Pepper	7	We also know that governments play an essential role in addressing climate change.	not_assertion
Keurig Dr Pepper	7	We join other corporate Ongoing Challenges • Mitigating and adapting to climate challenges, such as operational and supply chain disruptions, shortages of materials and risks to agriculture, food systems and communities • Navigating the evolving policy and regulatory landscape for compliance and reporting • Mapping a feasible glidepath to fleet decarbonization at scale in the U.S., given the lack of required technology, policy and infrastructure • Meeting the growing reporting needs of our customers and partners as they manage their own climate and nature goals and regulatory requirements Future Opportunities • Continuing to reduce resource use while increasing climate resiliency measures such as supporting regenerative agriculture and conservation • Exploring new technology and electric heavy-duty trucks in support of fleet decarbonization • Scaling decarbonization projects at manufacturing facilities through public- private partnerships and engaging suppliers to implement their own decarbonization activities • Evaluating the interconnectivity of positive climate, nature and water benefits and looking to better integrate our measurement and reporting Read more: leaders in acknowledging the important role we have in establishing and maintaining open dialogue with governments in support of healthy economies, substantial reductions in GHG emissions and robust adaptation measures.	length
Keurig Dr Pepper	7	We support the creation of incentives in clean energy and transportation projects, along with initiatives to streamline permitting processes for the faster deployment of clean energy and enhanced grid resiliency.	not_assertion
Keurig Dr Pepper	7	Management Approach We leverage third-party standards and guidelines and collaborate with many industry organizations to inform our strategy, as well as comply with regulatory agency requirements to report our progress.	not_assertion
Keurig Dr Pepper	7	They include KDP’s Environmental Policy, Climate Policy, Water Policy and Supplier Code of Conduct.	not_assertion
Keurig Dr Pepper	7	Water Use & Stewardship Packaging & Circular Economy Corporate Governance & Ethics Glossary Our Impact CLIMATE & NATURE ACTION STRATEGY Energy Efficiency & Low Carbon Energy Use in Our Operations Fleet Decarbonization Regenerative Agriculture & Conservation Partner & Policy Engagement 2024 KEURIG DR PEPPER IMPACT REPORT 7 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	8	Our continued transition to renewables contributes in part to the reduction of our Scope 1 and 2 emissions compared to the 2018 baseline, which in 2024 totaled 21%.	reference_dense
Keurig Dr Pepper	8	This was driven in part by improvements in our methodology, such as using supplier-specific activity data as well as using more current emissions factors.	methodology
Keurig Dr Pepper	8	We have also committed to support regenerative agriculture and conservation on 250,000 acres of land by 2030 via targeted projects within our apple, coffee and corn supply chains3.	not_assertion
Keurig Dr Pepper	8	At year- end 2024, we have supported a total of 129,013 acres contributing progress toward our goal.	not_assertion
Keurig Dr Pepper	8	REGENERATIVE AGRICULTURE & CONSERVATION ACRES We continue to evaluate the interconnectivity of climate, nature and water benefits and are working to better integrate our measurement and reporting to ensure that progress from our broader environmental efforts is captured within our relevant climate, nature and water goals going forward.	length
Keurig Dr Pepper	8	SBTi validated our targets in early 2025, which include: • Reduce absolute Scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year • Reduce absolute Scope 3 GHG emissions from purchased goods and services, fuel and energy related activities, upstream transportation and distribution, and use of sold products 25% by 2030 from a 2022 base year • Reduce absolute Scope 3 Forest, Land and Agriculture (FLAG)4 GHG emissions by 30% by 2030 from a 2022 base year • Commit to no deforestation across our primary deforestation-linked commodities, with a target date of December 31, 2025 We will report progress on these targets in the 2025 Impact Report.	length
Keurig Dr Pepper	8	2024 GHG EMISSIONS BY CATEGORY* Scope 1 and 2 Emissions 51% 39% 10% Fleet Fuels Natural Gas Electricity Scope 3 Emissions** 28% 22% 19% 15% 11% 4% Third-party Manufacturing Ingredients Packaging Logistics Other Use of Products *% of GHG Emissions by Category may not sum to 100% due to rounding.	length
Keurig Dr Pepper	8	A more detailed breakdown of Scope 3 emissions can be found in the Data Table.	not_assertion
Keurig Dr Pepper	8	Read more: Goal Methodology & Progress Summary Glossary Data Table KDP’s Regenerative Agriculture & Conservation Monitoring & Evaluation Guide Scope 3 emissions accounted for more than 97% of KDP’s 2024 GHG emissions.	methodology
Keurig Dr Pepper	8	2022 Total Progress (Cumulative) Acres Supported to Enhance Conservation Efforts on Non- Agricultural Land Located Near Farms Acres Supported to Achieve Regenerative Agriculture Outcomes on Farms *Regenerative Agriculture & Conservation Acres may not sum due to rounding of hectares to acres conversion.	not_assertion
Keurig Dr Pepper	8	KDP Impact Commitments Summary 2023 2024 50,000 acres 0 100,000 acres 150,000 acres 2024 KEURIG DR PEPPER IMPACT REPORT 8 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	9	This will enable the facility to reduce approximately 1,400 metric tons of carbon emissions annually, contributing a small amount to KDP’s 2030 climate commitments to obtain 100% of electricity from renewable sources and reduce Scope 1 and 2 emissions.	reference_dense
Keurig Dr Pepper	9	In addition to the investment made by KDP, the project is supported by the Irish Government through IDA Ireland.	not_assertion
Keurig Dr Pepper	9	Read more here.	length
Keurig Dr Pepper	9	In addition to joining the Advanced Clean Transportation (ACT) Fleet Forum and Corporate Electric Vehicle Alliance, we increased our electric fleet inventory to 45 vehicles, which represents nearly 20% of our Canadian fleet.	not_assertion
Keurig Dr Pepper	9	KDP Canada Fleet Electrification SUPPORTING REGENERATIVE AGRICULTURE & CONSERVATION Apple Pollinator Program In 2022, we partnered with the IPM Institute and Cornell University’s Danforth Lab on a three- year program to promote safe pest management practices and native pollinator habitat conservation techniques with participating apple farmers in upstate New York.	length
Keurig Dr Pepper	9	Through year-end 2024, we have seen measurable results in spray optimization and plans for the addition of new habitats.	not_assertion
Keurig Dr Pepper	9	Moreover, in 2024, the state of New York awarded funding to a group of 10 apple farmers to enable the implementation of conservation practices, including habitat enhancements identified in our Apple Pollinator Program.	not_assertion
Keurig Dr Pepper	9	Importantly, these grants will provide additional resources, beyond those provided by KDP, to scale impact.	not_assertion
Keurig Dr Pepper	9	Blue Harvest Regenerative Program Since 2014, we have partnered with the international non-governmental organization (NGO), CRS, to protect and restore vital natural resources in coffee farming communities in Honduras and Nicaragua.	activity_report
Keurig Dr Pepper	9	Between 2022 and 2024, more than 3,000 coffee farmers have adopted practices that support regenerative outcomes, leading to healthier soil and an average yield improvement of 8.6% from a 2022 baseline.	not_assertion
Keurig Dr Pepper	9	KDP AT CLIMATE WEEK NYC KDP hosted and convened key stakeholders for The Future of Coffee event during Climate Week in New York in 2024 to discuss the critical challenges and opportunities facing the coffee industry from climate change.	not_assertion
Keurig Dr Pepper	9	KDP, along with an expert panel of our long-term partners, discussed how climate change and economic uncertainty for smallholder farmers are impacting coffee, from farm to cup, and how long-term investments, programs and partnerships can help to preserve the future of coffee and drive meaningful impact at scale.	length
Keurig Dr Pepper	9	The event brought participants in the coffee industry together to deepen relationships and ideate on innovative partnerships with the goal of collective action to protect coffee and coffee farming for generations to come.	not_assertion
Keurig Dr Pepper	9	2022 2023 2024 1 18 26 45 Total Electric Vehicles Read more: Our Impact 2024 KEURIG DR PEPPER IMPACT REPORT 9 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	10	WATER USE & STEWARDSHIP Water is a shared resource that is critical to the health of communities and ecosystems where we live and work.	general_statement
Keurig Dr Pepper	10	KEY HIGHLIGHTS • Aspiration to achieve Net Positive Water Impact5 by 2050 • Invested in higher efficiency water treatment infrastructure at two manufacturing facilities which is estimated to save over 50 million gallons of water annually • 66% replenishment for high water-risk operating communities through the end of 2024, an increase from 55% in 2023 • 17 targeted water replenishment projects supported in California, Texas, Florida and Mexico since 2016 • Supported projects that delivered 3,008 megaliters of water volumetric benefit to areas of high-water stress in 2024 • Hosted a workshop at World Water Week in Stockholm, Sweden, to raise awareness and discuss safe water access in underserved communities Read more: Goal Methodology & Progress Summary 2024 KEURIG DR PEPPER IMPACT REPORT 10 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	11	Strategy Water is the primary ingredient in our products and used across our operations.	not_assertion
Keurig Dr Pepper	11	As a leading beverage company, we have a responsibility to help address local and global water challenges, particularly in those areas that are more prone to water challenges like scarcity, water stress and drought.	not_assertion
Keurig Dr Pepper	11	Core to our approach is the use of periodic water assessments of our operations and supply chain.	not_assertion
Keurig Dr Pepper	11	To refine our understanding of challenges for our high water-risk sites and to identify opportunities to implement water-related measures, we assess each site in the context of the surrounding watershed, the local water issues and other local entities’ interest and perspectives on those issues.	not_assertion
Keurig Dr Pepper	11	More detail can be found in our CDP Climate Disclosure.	not_assertion
Keurig Dr Pepper	11	Our interconnected efforts and collaborations in climate and nature action are fundamental to our water stewardship work.	not_assertion
Keurig Dr Pepper	11	Management Approach We collaborate with many nonprofit organizations and industry organizations to inform our strategy and report our progress.	not_assertion
Keurig Dr Pepper	11	For example, we use resources such as a benchmarking analysis from the Beverage Industry Environmental Roundtable (BIER) to set targets and evaluate our performance.	activity_report
Keurig Dr Pepper	11	They include KDP’s Environmental Policy, Water Policy, Climate Policy and Supplier Code of Conduct.	not_assertion
Keurig Dr Pepper	11	Ongoing Challenges • Mitigating and adapting to climate change impacts in water-stressed areas such as operational disruptions • Engaging in long-term planning that accounts for aging infrastructure, population growth and fair access to safe water and sanitation • Balancing progress toward our goal for water use efficiency while supporting need for quality ingredient water and evolving regulatory requirements Future Opportunities • Upgrading efficient water treatment infrastructure to work toward maximizing water efficiency • Investing in watershed health with the aim to improve water availability, quality and access • Exploring the co-benefits of water replenishment by measuring how our efforts might positively impact water quality, access, biodiversity and nature Read more: Climate & Nature Action Packaging & Circular Economy Glossary Our Impact Corporate Governance & Ethics WATER USE & STEWARDSHIP STRATEGY Wa te r S ec ur it y & Ac ce ss Wa te r R ep le ni sh me nt in Wa te r E ffi ci en cy in ou r O pe ra tin g Co m m un it ie s ou r Op er at io ns 2024 KEURIG DR PEPPER IMPACT REPORT 11 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	12	In 2024, the water use ratio was 1.82 in our total manufacturing plant network that produces liquid refreshment beverages.	not_assertion
Keurig Dr Pepper	12	This reflects a 7% improvement from our 2017 baseline.	not_assertion
Keurig Dr Pepper	12	Progress toward this target will be reported in our 2025 Impact Report.	not_assertion
Keurig Dr Pepper	12	ANNUAL WATER VOLUMETRIC BENEFIT (MEGALITERS) 2019 2020 2021 2022 2023 2024 97 725 1,817 2,084 2,169 3,008 Read more: Goal Methodology & Progress Summary Glossary Data Table KDP Impact Commitments Summary 2024 KEURIG DR PEPPER IMPACT REPORT 12 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	13	Agriculture Water Conservation in California: KDP is working with precision irrigation solutions company Oriba Netafim to incentivize farmers to implement drip irrigation on farms in the Sacramento and San Joaquin Valley watersheds, which can lead to state-of-the-art crop management practices and robust reporting and data collection.	length
Keurig Dr Pepper	13	Overgrowth of native-nuisance shrubs has resulted in habitat loss, intensified impacts from drought, decreased water quality and increased risk of wildfire.	risk_description
Keurig Dr Pepper	13	Our partnership contributes to the remediation of these issues through the removal of invasive and native-nuisance plant species, which in turn improves the ability of the marsh to recharge, provide habitat for wildlife and support native vegetation.	not_assertion
Keurig Dr Pepper	13	Since 2022, the project has reached the important milestone of over 1,000 acres under restoration.	not_assertion
Keurig Dr Pepper	13	This initiative positively impacts water quality and availability for the Lerma River which flows into Lake Chapala, near Guadalajara.	not_assertion
Keurig Dr Pepper	13	In the Spring-Summer cycle of 2024, technical assistance and land leveling activities took place on over 150 hectares of land across 15 different farms, adding to the more than 40 hectares of land where activities took place in the Autumn-Winter growing season.	not_assertion
Keurig Dr Pepper	13	The estimated benefit to local water basins in 2024 was over 200 megaliters.	not_assertion
Keurig Dr Pepper	13	Wetland Creation in Texas: Water scarcity in the Trinity River Basin leaves little to no water in-stream dedicated to wildlife habitat.	not_assertion
Keurig Dr Pepper	13	In partnership with Ducks Unlimited, Texas Parks and Wildlife Department and the Texas Water Action Collaborative (managed by Texan by Nature), KDP and its partners supported the construction of 111 acres of wetlands by installing water control infrastructure to enhance the water holding capacity of the Wildcat Marsh on Richland Creek Wildlife Management Area.	length
Keurig Dr Pepper	13	PARTNERING FOR WATER REPLENISHMENT In 2024, we collaborated with nonprofit and other industry partners on projects in key regions that focused on water availability and quality.	not_assertion
Keurig Dr Pepper	13	2024 KEURIG DR PEPPER IMPACT REPORT 13 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	navigation
Keurig Dr Pepper	14	ENHANCING WATER SECURITY & ACCESS We collaborated with nonprofit organizations on projects that focused on water security and access in 2024.	not_assertion
Keurig Dr Pepper	14	Safe Water Access in Canada: KDP Canada has teamed up with One Drop Foundation as a founding Water Impact Partner of the Indigenous Water Allyship initiative, a multi-year program that aims to improve living conditions and health via increased access to safe water in First Nations, Métis and Inuit communities.	length
Keurig Dr Pepper	14	In 2024, the program supported nine youth in their water-related artistic projects, fostering youth leadership, participation and dialogue on water rights and stewardship, engaging more than 120,000 people.	not_assertion
Keurig Dr Pepper	14	In addition, KDP Canada co-hosted a workshop at World Water Week in Stockholm, Sweden, along with One Drop and the Canada Water Agency, to introduce the Indigenous Water Allyship Program and five Young Indigenous Ambassadors from the program who shared their perspectives on water-related social and environmental issues in their respective communities.	length
Keurig Dr Pepper	14	Read more: Our Impact 2024 KEURIG DR PEPPER IMPACT REPORT 14 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	15	PACKAGING & CIRCULAR ECONOMY Supporting the circular economy is critical to reduce resource use and environmental impacts.	navigation
Keurig Dr Pepper	15	KEY HIGHLIGHTS • Unveiled our vision for new K-Rounds plastic- and aluminum- free pods as well as a new brewing system, the Keurig Alta brewer • 96% of packaging converted to be recyclable or compostable • 17% virgin plastic reduction across our packaging portfolio since 2019 • More than $50 million committed in support of a more circular economy since 2014 • Secured acceptance of K-Cup pods into Canadian province- run curbside collection programs in Ontario and Quebec • Launched K-Cycle At Home, a new mail-back program aimed at expanding K-Cup pod recycling access for consumers Read more: Goal Methodology & Progress Summary 2024 KEURIG DR PEPPER IMPACT REPORT 15 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	16	Strategy KDP supports the reuse, recycling, repurposing and composting of our products and packaging in support of a more circular economy.	not_assertion
Keurig Dr Pepper	16	Driving the transition to a circular economy is complex and requires scalable systems change.	general_statement
Keurig Dr Pepper	16	Therefore, individual and company responsibility as well as collective action are critical to advancing effective and efficient policy solutions, investing in infrastructure and modernization and engaging consumers to act in more sustainable ways.	general_statement
Keurig Dr Pepper	16	Beyond KDP’s design innovations, collective action is critical to advance effective and efficient policy solutions, such as well-designed Extended Producer Responsibility (EPR) programs, invest in infrastructure modernization and engage consumers to act in more sustainable ways.	general_statement
Keurig Dr Pepper	16	To help make this happen, we partner with a wide variety of external organizations, including state/ provincial and municipal government leaders, recyclers, NGOs, industry peers and suppliers.	not_assertion
