PDF_Page	Now_in_v4_final	Killed_by_in_v4.0	ESG	Claim_Type	Sentence
18	recovered	navigation	E	Vague	Despite headwinds in the reduction of our scope 1 and 2 GHG emissions, driven by vertical integration projects and manufacturing network changes, we continued to make progress in lowering our operational emissions through interventions such as those highlighted on page 227.
18	still missed	navigation	E	Strong	Our Sustainability Progress Index (SPI) climate goal performance, for internal remuneration purposes, was 76.6%, as detailed on page 97 We improved our GHG measurement accuracy through a more granular estimation methodology for emissions from decentralised business units.
19	still missed	length	E	Strong	Emissions % change vs. 2021 baseline Climate targets – Scope 3 (million tonnes CO2e) 2030 target % reduction 2021 baseline 2025 2024(a) 2025 2024(a) Reduce absolute Scope 3 E&I GHG emissions by 42% by 2030 vs. a 2021 baseline(b) 42.0% 31.4 27.9 29.2 (11) % (7) % Unilever 24.5 — — — Ice Cream 3.4 — — — Reduce absolute Scope 3 FLAG GHG emissions by 30.3% by 2030 vs. a 2021 baseline(c) 30.3% 8.4 7.0 7.4 (17) % (12) % Unilever 4.7 — — — Ice Cream 2.3 — — — (a) 2024 measured including Ice Cream.
19	recovered	navigation	E	Vague	However, we are making progress to develop and scale lower GHG alternatives for these chemicals, as well as engaging with governments to accelerate the transition to sustainable chemicals, as set out on page 228.
21	recovered	reference_dense	E	Strong	We have seen an overall decrease of 5% in our total scope 1, 2 and 3 GHG emissions in 2025 from the prior year (including Ice Cream).
21	recovered	navigation	E	Vague	Our progress in decarbonising our own operations has led to overall reductions in scope 1 and 2 emissions through interventions in energy efficiency and renewable energy sourcing, as detailed on page 227.
24	recovered	not_assertion	S	Vague	However, we evaluate consumer, worker and environmental exposures through our existing ingredient and product safety assessments, ensuring that our products and the ingredient levels we use are safe by design.
24	recovered	not_assertion	E	Vague	Unilever’s Environmental Care Framework Standards (ECFWS) require sites to assess the potential for serious environmental incidents or emergency situations and implement comprehensive plans to prevent or mitigate the associated likely consequences.
24	still missed	not_assertion	E	Vague	At a minimum, we ensure our products comply with regulations, such as restrictions on synthetic polymer microparticles, and monitor prohibited substances in regulatory lists, taking necessary actions as required.
24	recovered	not_assertion	E	Vague	In some areas, our standards exceed regulatory requirements based on our environmental safety assessments or in regions where regulations are weak or poorly enforced.
25	still missed	not_assertion	G	Vague	We are committed to ongoing improvements in our reporting capabilities.
26	recovered	not_assertion	E	Strong	■In 2025, we implemented nine additional water stewardship programmes, bringing our total to 29 active programmes (excluding one programme relating to Ice Cream) in Algeria, Argentina, Brazil, Chile, Cyprus, Egypt, India, Indonesia, Mexico, Nigeria, Pakistan, South Africa, Turkey and United Arab Emirates.
26	still missed	not_assertion	E	Vague	■Each programme follows the Alliance for Water Stewardship Standard, an external global framework, or the Prabhat approach, our community development initiative in India.
26	still missed	not_assertion	E	Strong	Programmes have specific timelines and activities informed by river basin studies (eight new studies completed in 2025) and local knowledge from regional implementation partners such as DKM in Turkey, TNC in Brazil and WWF in South Africa, Algeria and Pakistan.
26	still missed	not_assertion	E	Strong	For example, in 2025, we continued to roll out our Wonder Wash laundry detergent, now launched in over 30 markets, including India (Surf Excel).
26	recovered	not_assertion	E	Vague	This product provides a short-cycle, low-water-use formulation.
28	still missed	not_assertion	E	Future Promise	These will inform site-level action plans, which will be finalised in 2026.
29	recovered	not_assertion	E	Vague	We do not use biodiversity offsets within any of our actions.
29	recovered	not_assertion	E	Strong	Regenerative agriculture In 2025, we implemented 12 new regenerative agriculture programmes, bringing our total to 34 programmes (excluding one project relating to Ice Cream) that collectively cover 254,000 hectares since 2021.
29	still missed	not_assertion	E	Strong	The programme has in-field implementation in 17 countries: Argentina, Brazil, Canada, Chile, China, France, Germany, India, Indonesia, Italy, Mexico, Poland, Serbia, Spain, Thailand, the UK and the US.
29	recovered	not_assertion	E	Future Promise	We have plans to increase the implementation of our regenerative agriculture initiatives to more than 400,000 hectares through supplier programmes and co-investment through our Regenerative Agriculture Fund in 2026.
29	recovered	not_assertion	E	Future Promise	This investment will further expand our independent mills and direct sourcing associated with smallholder programmes.
29	recovered	not_assertion	E	Strong	This has resulted in suppliers participating in Unilever’s supply chain and the protection and restoration of more than 8,000 hectares of forest.
29	still missed	not_assertion	E	Strong	Protect and restore In 2025, we implemented 3 new protection and restoration programmes closely associated with our sourcing locations.
29	recovered	not_assertion	E	Strong	We have implemented 14 programmes (excluding two projects relating to Ice Cream) in total since 2021, covering around 660,000 hectares cumulatively.
29	recovered	not_assertion	E	Future Promise	All actions are tracked against our target of protecting and restoring 1 million hectares of natural ecosystems by 2030.
29	still missed	length	E	Vague	Policy advocacy In 2025, we progressed our nature policy advocacy priorities with a strengthened focus on landscape action: ■Landscape Accelerator Brazil (LAB): Through the World Business Council for Sustainable Development’s LAB, we collaborated with peers and value chain partners to align on policy and finance solutions to support the regenerative transformation of the Cerrado, a key sourcing landscape for our soybean oil.
30	recovered	not_assertion	E	Future Promise	By 2030, our regenerative agriculture programme aims to cover approximately 25% of the land required to grow the agricultural raw materials associated with our key crops for Unilever’s products.
30	still missed	not_assertion	E	Future Promise	Our protect and restore target, which focuses on ecosystems within and around our key crops sourcing footprint, also aims to cover approximately 25% of our land footprint.
30	still missed	length	E	Future Promise	Our targets and progress against these targets are set out below: Implement regenerative agriculture practices on 1 million hectares of agricultural land by 2030; and Help protect and restore 1 million hectares of natural ecosystems by 2030 Regenerative agriculture activities eligible for support through Unilever’s programmes must contribute to at least two of the five impact areas outlined in our Regenerative Agriculture Principles: climate, soil, water, livelihoods or biodiversity.
30	still missed	length	E	Future Promise	95% volume of key crops to be verified as sustainably sourced by 2030 Key crops include cereals and starches, cocoa, coconut oil, dairy, palm oil, paper and board, rapeseed oil, soy oil, sugar, tea, vanilla and vegetables, and account for over 77% of our agricultural sourcing by volume (excluding Ice Cream).
31	still missed	length	E	Strong	Nature targets Goal 2025 2024(a) 2023(a) Implement regenerative agriculture practices on 1 million hectares of agricultural land by 2030 (millions of hectares)(b) 1m Unilever 0.25m 0.13m 0.06m Ice Cream 0.00m — — Help protect and restore 1 million hectares of natural ecosystems by 2030 (millions of hectares)(b) 1m Unilever 0.66m 0.43m 0.29m Ice Cream 0.02m — — 95% volume of key crops to be verified as sustainably sourced by 2030 (% purchased)(c)(d) 95% Unilever 81% 79% 79% Ice Cream 74% — — Maintain no deforestation across our primary deforestation-linked commodities (% purchase volumes that are deforestation-free)(e) 95% Unilever 97% 97% 98% Ice Cream 89% — — (a) 2024 and 2023 measured including Ice Cream.
31	still missed	not_assertion	E	Strong	(c) Raw materials produced according to third-party certification and aligned with Unilever’s SAP were 62% in 2025 (2024: 63%, 2023: 66%).
31	recovered	reference_dense	E	Strong	(d) Raw materials purchased from non-sustainable sources but matched with credits representing verified sustainably sourced raw materials were 19% in 2025 (2024: 16%, 2023: 13%).
31	recovered	not_assertion	E	Strong	We continued to make progress against our regenerative agriculture target, implementing 12 new programmes in 2025.
31	recovered	not_assertion	E	Future Promise	We plan to further scale the implementation of our initiatives through investment in our Regenerative Agriculture Fund in 2026.
31	still missed	not_assertion	E	Strong	We also exceeded our in-year protect and restore target, largely driven through the implementation of new programmes, for example expansion of activities within the Rimba Collective and a new programme in Ecuador with Conservation International.
32	recovered	not_assertion	E	Strong	In 2025, we purchased more than 152 kilotonnes of recycled plastic in our packaging as part of these and other initiatives.
32	still missed	general_statement	E	Vague	Scaling alternative packaging formats and materials have also contributed to reducing our virgin plastic footprint and will continue to play an important role as we work towards further reductions.
32	recovered	not_assertion	E	Strong	In 2025, we collected and processed more plastic than we sold through our purchase of recycled plastic, strategic partnerships and participation in EPR schemes.
32	still missed	not_assertion	E	Strong	Since 2021, we have run more than 50 reuse–refill pilots, which have shown that ‘on-the- go’ solutions are more challenging to scale than ‘at-home’ models.
32	recovered	not_assertion	E	Vague	We also advocate for coordinated and enabling policy measures, like EPR, to create a level playing field and prevent individual business action on plastic from being uncompetitive.
32	recovered	not_assertion	E	Vague	In 2025, we supported the creation of the Consumer Goods Forum’s policy guidelines for effective, locally tailored EPR systems in low- and middle-income countries, building on previously published Optimal EPR Principles.
32	recovered	not_assertion	E	Vague	In 2024, we introduced a global Waste Standard mandating minimum requirements for managing hazardous and non-hazardous waste at all Unilever sites.
32	recovered	policy_content	E	Vague	To reduce our waste footprint, the standard also requires sites to maintain zero non-hazardous waste from manufacturing to landfill or incineration without energy recovery.
32	still missed	not_assertion	E	Future Promise	Although we will continue to deliver this commitment, it will no longer be a formal target.
33	recovered	reference_dense	E	Future Promise	Reduce our virgin plastic footprint by 30% by 2026, and 40% by 2028, from a 2019 baseline; and Use 25% recycled plastic in our packaging by 2025 Virgin plastic packaging is derived from fossil fuels and/or bio-based sources and has not been recycled.
33	recovered	not_assertion	E	Strong	We have increased our use of PCR by 4% compared to 2024, reaching 25% PCR and meeting our 2025 target.
33	recovered	not_assertion	E	Strong	Our plastic collection programme is now implemented in 14 countries (2024: 11), the progress of which was supported by long-standing partners and new collaborators.
33	still missed	not_assertion	E	Strong	In addition, 12 countries achieved collection and processing rates of 100% or greater in 2025 (2024: 8).
36	recovered	not_assertion	G	Vague	We meet the minimum set of criteria with respect to human rights, corruption and bribery, taxation and fair competition.
40	still missed	not_assertion	G	Vague	We also follow the OECD Guidelines for Multinational Enterprises, which provide voluntary principles and standards for responsible business conduct, including employment and industrial relations and guidance on effective human rights due diligence.
40	recovered	not_assertion	S	Vague	■Providing fair and equitable wages that meet or exceed legal or industry standards.
40	still missed	not_assertion	S	Vague	■Not using any form of forced labour, including compulsory, trafficked or child labour.
40	recovered	not_assertion	S	Vague	■Respecting the dignity of the individual and the right of employees to freedom of association and collective bargaining.
41	still missed	not_assertion	S	Vague	Our Memorandum of Understanding with the IUF and IndustriAll confirms our commitment to biannual meetings and ongoing communications as required.
41	still missed	not_assertion	S	Vague	We have a clearly defined due diligence process for land transactions, which is mandated for each transaction prior to completion.
41	still missed	not_assertion	S	Strong	In 2025, we expanded the programme to 50 additional suppliers and launched it in the Philippines and Turkey.
42	recovered	not_assertion	S	Strong	■Continuing to partner with VietCycle on the ‘Plastic Reborn’ programme to provide training, PPE and other essential support to over 3,000 waste collectors in Vietnam since 2021.
42	still missed	not_assertion	S	Vague	Carelines are also available across the world for consumers to raise a concern.
42	still missed	not_assertion	G	Vague	Reports can be submitted confidentially and anonymously, where permitted by law.
42	recovered	not_assertion	S	Vague	Issues identified during RPP audits are independently verified by a third-party within 90 days to verify whether remediation measures have been effective.
42	still missed	not_assertion	S	Vague	Examples of remediation actions in our value chain in 2025 include: ■Supporting a business partner in North America to reimburse recruitment fees paid by migrant workers employed at their site, while also strengthening their due diligence processes and service level agreements with labour agencies.
42	recovered	not_assertion	S	Vague	■Engaging with business partners in Turkey to develop and implement a repayment plan to reimburse workers who covered the costs of their own health checks during recruitment processes.
43	still missed	length	S	Strong	Workers in value chain Affected communities 2025(a) 2024(b)(c) 2025 2024(b)(d) Total number of severe human rights incidents 0 2 0 0 Those incidents that are cases of non-respect of the UNGPs, ILO Declaration on Fundamental Principles and Rights at Work, or OECD Guidelines for Multinational Enterprises 0 2 0 0 (a) In 2025, 0 severe human rights incidents were identified related to Ice Cream.
44	recovered	navigation	G	Vague	Additionally, they incorporate explicit non-retaliation policies protecting individuals who report concerns or alleged breaches of the Code, as outlined in our Governance disclosures on page 266.
44	recovered	reference_dense	S	Strong	Managing impacts and risks related to own workforce Talent We are an FMCG employer of choice for graduates and early career talent, with a 142:1 applicant to job ratio in 2025 (industry average 38:1) and LinkedIn organic engagement of 12% (industry average 7.4%).
44	still missed	not_assertion	S	Future Promise	Between 2025 and 2027, this programme will engage our top 4,000 leaders in a transformative journey to cultivate bold and courageous leadership.
45	recovered	not_assertion	S	Vague	We conduct annual mandatory Code training for all employees, which regularly includes training on how to recognise bullying and harassment, and discrimination.
45	recovered	not_assertion	S	Strong	In 2021, we received our first global independent accreditation as a living wage employer.
45	still missed	not_assertion	S	Vague	In our own operations, we aim for Zero Harm, which underpins everything we do as a business.
45	still missed	not_assertion	S	Vague	Compliance with all applicable legislation and regulations is a mandatory minimum, with our safety standards aligning with obligations set out in the international standard for occupational health and safety management, ISO 45001.
49	still missed	reference_dense	S	Strong	2025 2024 Unilever gender pay gap (%) (52) % (49) % Total remuneration ratio 286.6:1 225.7:1 In 2025, the mean pay level for female employees was 52% higher than that of male employees, primarily driven by the composition of our workforce.
49	still missed	not_assertion	S	Strong	As at 31 December 2025, the highest-paid individual was paid more than 286 times the median of all employees.
49	still missed	not_assertion	S	Strong	There have been no fines, penalties or compensation for damages recorded as a result of the incidents, complaints and severe human rights impacts disclosed.
50	recovered	not_assertion	S	Vague	In Indonesia, we are supporting smallholder farmers with high-yield dwarf coconut trees, which is making coconut sugar production faster and safer, alongside training families to optimise the sugar-making process.
50	recovered	not_assertion	S	Strong	Our Shakti programme supports over 200,000 women micro-entrepreneurs in rural Asia and Africa and provides them with access to business training.
50	still missed	not_assertion	S	Vague	Policy advocacy In addition to our actions, we advocate for living wages to become widespread, alongside partners like UN Global Compact, International Labour Organization, IDH and World Benchmarking Alliance.
50	still missed	length	S	Vague	METRICS AND TARGETS Targets Our ambition is to help the people who grow, make and sell our products have a decent livelihood, including by earning a living wage – so they can afford the essentials of daily life and have work that is secure, dignified and fair.
50	recovered	not_assertion	S	Future Promise	Our goal is to help 2.5 million SMEs in our retail value chain grow their business by 2026.
51	still missed	length	S	Future Promise	Livelihood targets Suppliers representing 50% of our procurement spend to sign the Living Wage Promise by 2026 A living wage promise is a commitment made by a supplier to progress towards paying a living wage to workers in their own business operations, either through signing a Living Wage Special Terms Contract (STC) with Unilever or by signing Unilever’s Living Wage Promise document.
51	still missed	length	S	Future Promise	Help 250,000 smallholder farmers in our supply chain access livelihoods programmes by 2026 Unilever defines a smallholder farmer as a person who rears livestock and/or cultivates crops on one or more plots of land that, individually or in aggregate, is the larger of: up to and including 10 hectares (only counting farmed land), in line with the United Nations Food and Agriculture Organization’s definition of a smallholder farmer, or the size defined by an official regional and/or sector body.
51	still missed	length	S	Future Promise	Help 2.5 million SMEs in our retail value chain grow their business by 2026 Small and medium-sized enterprises (SMEs) in our retail value chain include businesses selling Unilever goods to consumers in one of the following countries: Bangladesh, Brazil, Ecuador, India, Indonesia, Pakistan, the Philippines, Thailand, Turkey and Vietnam.
51	recovered	not_assertion	S	Strong	However, progress against our SME target in 2025 was lagging and overall there was a decline in active retailers compared to 2024.
51	still missed	not_assertion	S	Vague	Despite this gap, retailer adoption showed consistent growth, driven by higher repeat usage and self-ordering.
51	recovered	not_assertion	S	Vague	Large markets such as India and Indonesia continued to expand SME participation through digital ordering.
52	recovered	not_assertion	S	Vague	These principles ensure that Unilever adheres to the strictest standards in marketing to children and adheres to all relevant local regulations and pledges.
52	still missed	not_assertion	S	Strong	If no regulations exist, Unilever does not intentionally advertise to children under six, and only markets to those ages six to 13 if products meet Unilever’s Science-based Nutrition Criteria (USNC).
52	recovered	not_assertion	S	Strong	Engaging with consumers and end-users We engage with our consumers and end-users, including those groups considered vulnerable, through a range of communication channels on a continuous basis, reaching over 3 million consumer contacts in 2025 through our various platforms.
52	recovered	not_assertion	S	Vague	When necessary, we will issue a public recall of the affected products from the marketplace, even if only small quantities of products are involved.
52	still missed	not_assertion	G	Vague	Our investigation standards require us to record and assess all potential breaches reported.
53	recovered	not_assertion	S	Vague	Where necessary, we will issue a public recall of the affected products from the marketplace even if only small quantities of products are involved.
53	recovered	not_assertion	S	Strong	In 2025, we issued one public recall relating to the Ice Cream business, which was caused by undeclared allergens.
53	still missed	not_assertion	S	Strong	In 2025, we continued to reduce the number of marketplace incidents by more than 8% (excluding Ice Cream) versus 2024.
54	recovered	reference_dense	S	Strong	On a like-for-like basis with 2024 and 2023, the combined percentage of the Foods and Ice Cream portfolio meeting Unilever’s Science-based Nutrition Criteria was 83% and the number of products sold that deliver positive nutrition was 53% in 2025.
54	still missed	not_assertion	S	Vague	The ingredients in our products are included at levels that are safe in use.
54	still missed	not_assertion	S	Strong	We have over 20 accredited brands, including Axe, Dove, Sunsilk and TRESemmé.
55	still missed	not_assertion	G	Vague	Use of non-animal safety science Positive Impact (VC) Unilever is a global leader advocating for regulatory use of modern, non-animal safety science in place of animal testing, working with government groups and other stakeholders.
56	recovered	not_assertion	G	Vague	We conduct annual mandatory training for all office-based employees and have tailored training for those employees working in factories and more remote areas.
56	still missed	not_assertion	G	Vague	Corruption and bribery are risks that may affect any employee, and therefore our mandatory training, deployed for all employees, includes these topics.
56	still missed	not_assertion	G	Vague	Alternatively, employees and third parties can use our independently managed and confidential Unilever Code Support Line (whistleblowing line), via telephone or our online Speak Up platform, which is available directly through a web address.
56	recovered	not_assertion	G	Strong	In 2025, approximately 86% of our procurement spend (including Ice Cream) was with suppliers that met the mandatory requirements of the RPP.
57	still missed	not_assertion	G	Vague	Animal welfare policies Unilever uses leading-edge safety science, not animals, to evaluate the safety of our products.
57	still missed	not_assertion	G	Vague	We share our scientific approaches with regulatory authorities and NGOs around the world to promote their broader acceptance and maximise the impact of our science in replacing animal testing.
57	recovered	not_assertion	G	Vague	Anti-corruption and anti-bribery training As part of our annual mandatory Business Integrity learning programme, anti-corruption and anti-bribery training is deployed to all employees.
57	recovered	not_assertion	G	Vague	Unilever Board members also receive training on this subject.
57	recovered	not_assertion	G	Vague	Political contributions Unilever companies are prohibited from supporting or contributing to political parties or candidates.
58	recovered	not_assertion	E	Vague	Furthermore, Unilever works with governments to accelerate enabling conditions, including encouraging the protection and restoration of land, forests and oceans, and putting forward policies that incentivise regenerative agriculture.
58	recovered	not_assertion	G	Vague	Unilever is an IFRS Foundation Corporate Donor and advocates for the adoption of ISSB sustainability reporting standards as the global baseline for non-financial reporting.
58	recovered	not_assertion	E	Vague	We also work with governments to identify the enabling conditions to help scale reuse and refill models.
58	still missed	not_assertion	E	Vague	Although negotiations concluded without a treaty in August 2025, together with others Unilever continues to drive industry convergence aligned to a high-ambition treaty.
58	still missed	not_assertion	S	Vague	Unilever supports policies that restrict the marketing of food and beverages to children under 13, aligning with our global commitment to responsible marketing.
58	recovered	not_assertion	G	Vague	Furthermore, we comply with the US Lobbying Disclosure Act (LDA); the LDA website provides a searchable database of disclosure filings.
59	recovered	not_assertion	G	Future Promise	Our goal is to pay 100% of invoices within the payment terms agreed with our suppliers.
59	still missed	length	G	Strong	2025 2024 Unilever payment metrics All suppliers SME suppliers All suppliers SME suppliers Average payment days 57 days 48 days 56 days 38 days % of invoices paid on time 85% 80% 87% 84% The calculation of average payment days as per the ESRS requirements does not consider internal working capital management, which is typically calculated on a value-weighted basis.
59	still missed	not_assertion	G	Strong	As at 31 December 2025, there was 1 legal proceeding outstanding for late payment (2024: 2), which related to SMEs.
