n	status	page	sentence	drop_reason	esg	claim_type	category	reason	used_context	verifier	in_sample
321	confirmed	11	Scope of target Target Timeline Scope 1 and 2 emissions from our operations 100% reduction By 2030, against a 2015 baseline Scope 3 energy and industrial GHG emissions from purchased goods and services (ingredients, packaging), upstream transport and distribution, energy and fuel-related activities, direct emissions from use of sold products (HFC propellants), end-of-life treatment of sold products, and downstream leased assets (ice cream retail cabinets) 42.0% reduction By 2030, against a 2021 baseline Scope 3 forest, land and agriculture (FLAG) GHG emissions from purchased goods and services (ingredients) 30.3% reduction By 2030, against a 2021 baseline Climate mitigation actions We have identified the following decarbonisation levers and actions that will contribute to the delivery of our climate targets across our operations and our value chain: Decarbonisation lever Key action Details Scope 1 and 2 (our operations) Thermal and electrical energy Improving efficiency and using alternative sources Improving thermal and electrical efficiency.	length	E	Future Promise	genuine_commitment	Table blob holds own targets: 100% scope 1+2, 42% scope 3, 30.3% FLAG by 2030	False	agents	False
333	confirmed	12	■Ensure carbon is priced at levels necessary for the delivery of the Paris Agreement goals.	policy_content	E	Vague	genuine_commitment	Stem 'we advocate for policies... plans aim to': own carbon pricing advocacy	True	agents	False
334	confirmed	12	■Support forest protection and nature restoration.	broken_fragment	E	Vague	genuine_commitment	Unilever's own advocacy plan bullet: support forest protection, nature restoration	True	agents	False
335	confirmed	12	■Encourage evolution of GHG Protocol standards to incentivise faster emissions reduction actions in value chains.	policy_content	E	Vague	genuine_commitment	Unilever's own advocacy plan bullet: push GHG Protocol standards evolution	True	agents	False
421	confirmed	15	We have set ambitious plastics targets, including increasing the use of recycled content in our packaging, reducing our virgin plastic footprint, and increasing the reusability, recyclability and compostability of our packaging (see page 243).	navigation	E	Future Promise	genuine_commitment	Own plastics targets set: recycled content, virgin plastic cut, recyclability	False	agents	False
435	contested	15	In Italy, we also partner with Parboriz, employing regenerative agriculture practices such as water management and crop rotation to address challenges in rice farming, including water pollution, GHG emissions and declining biodiversity.	not_assertion	E	Vague	genuine_result	Asserts employing regenerative agriculture practices with rice supplier; unmeasured	False	agents	False
436	confirmed	15	We have invested over €280 million in Unilever Oleochemicals Indonesia (UOI) via which more than 50% of our palm derivatives are processed.	not_assertion	E	Strong	genuine_result	€280m UOI investment, >50% palm derivatives; deforestation-free sourcing context	True	agents	False
437	confirmed	15	Implementing water stewardship programmes: In 2025, we had 29 sites in water-stressed areas with an active water stewardship programme in place (excluding one programme related to Ice Cream).	not_assertion	E	Strong	genuine_result	29 water-stressed sites with active water stewardship programme in 2025	False	agents	False
454	confirmed	16	In 2025, we implemented a hybrid wind and solar direct Power Purchase Agreement (PPA) in Poland, a multi-buyer PPA with our collaborative manufacturers in India, and a virtual PPA in Spain.	not_assertion	E	Strong	genuine_result	Three renewable PPAs implemented in 2025 in Poland, India, Spain	False	agents	False
455	confirmed	16	For example, our Vinhedo and Valinhos sites in Brazil now use biomethane instead of natural gas.	not_assertion	E	Strong	genuine_property	Named Brazil sites now use biomethane instead of natural gas	False	agents	False
459	confirmed	16	By the end of 2025, almost 200 suppliers (2024: 181) were actively participating in the Supplier Climate Programme (SCP), accounting for over 40% of Unilever’s scope 3 emissions from raw materials, ingredients and packaging.	reference_dense	E	Strong	genuine_result	~200 suppliers in SCP covering over 40% of material scope 3	False	agents	False
460	confirmed	16	We expanded our supplier product carbon footprint (PCF) data collection, receiving submissions from 91 suppliers and collecting over 2,000 PCF data points.	not_assertion	E	Strong	genuine_result	PCF submissions from 91 suppliers, over 2,000 data points	False	agents	True
462	refuted	16	In 2025, we deepened engagement through the SCP working with 25 suppliers to identify GHG hotspots and decarbonisation opportunities across their value chains.	not_assertion	E	Strong	genuine_result	Worked with 25 suppliers on GHG hotspots in 2025	False	agents	False
465	contested	16	Examples of 2025 innovations include: ■Personal Care: We advanced our soap bar reformulation programme, using patented novel structuring technology to reduce palm oil-derived total fatty matter while improving efficacy and consumer benefits.	not_assertion	E	Vague	genuine_result	Soap reformulation reduces palm-oil fatty matter; no figures	False	agents	False
466	confirmed	16	In 2025, we scaled this across priority soap bar brands in India and Indonesia following a successful launch in 2024.	not_assertion	E	Vague	genuine_result	Scaled low-palm soap reformulation across India and Indonesia brands	True	agents	False
467	contested	16	Additional market rollouts are planned for 2026.	not_assertion	E	Future Promise	genuine_commitment	Further 2026 rollouts of reformulated low-palm soap bars planned	True	agents	False
468	confirmed	16	■Home Care: We expanded our Wonder Wash laundry detergent range, designed for short cycles, across more geographies and with new variants.	not_assertion	E	Vague	genuine_property	Short-cycle detergent range expanded; product property, unquantified	False	agents	False
470	confirmed	16	Since 2021, we have invested over €280 million in UOI (2024: €218 million) via which more than 50% of our palm derivatives are processed.	not_assertion	E	Strong	genuine_result	€280m UOI since 2021, >50% palm derivatives; forest-risk mitigation	True	agents	False
471	confirmed	16	Regenerative agriculture In 2025, we implemented 12 new regenerative agriculture projects, bringing our total to 34 projects (excluding one project relating to Ice Cream) covering 254,000 hectares since 2021.	not_assertion	E	Strong	genuine_result	12 new regen-ag projects; 34 total covering 254,000 hectares	False	agents	False
472	confirmed	16	Our Foods business is partnering with CJ Selecta to roll out regenerative soybean farming across 45,000 hectares of Brazil’s Cerrado by 2030.	not_assertion	E	Future Promise	genuine_commitment	Regenerative soy across 45,000 ha of Cerrado by 2030	False	agents	False
473	refuted	16	This area is estimated to cover the equivalent of 70–90% of the soybean oil used in Hellmann’s mayonnaise production in Brazil annually.	not_assertion	E	Future Promise	genuine_commitment	Quantifies soy commitment: 70-90% of Hellmann's Brazil soybean oil	True	agents	False
475	contested	16	In 2025, we partnered with PepsiCo to support North American soy farmers transitioning to regenerative agriculture under the STEP up for Agriculture initiative and aim to establish additional pre-competitive partnerships and coalitions going forward.	not_assertion	E	Vague	genuine_result	Partnered to support regenerative soy transition; aims for more partnerships	False	agents	False
482	confirmed	17	Through our purchase of recycled plastic, strategic partnerships and participation in extended producer responsibility (EPR) schemes, we collected and processed more plastic than we sold in 2025.	not_assertion	E	Strong	genuine_result	Collected and processed more plastic than sold in 2025	False	agents	False
483	contested	17	Our future packaging plans focus on developing next-generation solutions that are reusable, recyclable or compostable.	not_assertion	E	Vague	genuine_commitment	Future packaging reusable, recyclable or compostable; no target or date	False	agents	False
486	confirmed	17	Nonetheless, we made progress in areas such as network transformation, route optimisation, truck loadability enhancement, and transshipment reduction across key markets.	not_assertion	E	Vague	genuine_result	Claims logistics decarbonisation progress without any figures	False	agents	False
488	confirmed	17	For example, we scaled up the usage of EVs in the regions of Greater Asia, Greater China, Latin America and PTAB.	not_assertion	E	Vague	genuine_result	Scaled up EV usage in named regions; unquantified	False	agents	False
490	confirmed	17	Aerosol propellants Outside of the US and Canada, Unilever uses natural hydrocarbon gases for aerosol spray formats, which are not classified as GHGs.	not_assertion	E	Strong	genuine_property	Non-GHG hydrocarbon propellants used outside US and Canada	False	agents	False
492	refuted	17	In 2025, we made progress developing alternative propellant systems to replace hydrofluorocarbon propellants in North America.	not_assertion	E	Vague	genuine_result	Progress replacing HFC propellants in North America; unmeasured	False	agents	True
493	confirmed	17	Dove launched an alternative propellant with a lower Global Warming Potential within its hairspray portfolio in the US and Canada.	not_assertion	E	Strong	genuine_result	Dove launched lower-GWP propellant in US/Canada hairspray	False	agents	False
494	contested	17	Two additional Personal Care Power Brands are preparing to launch a novel technology in early 2026.	not_assertion	E	Future Promise	genuine_commitment	Two more brands to launch lower-GWP propellant early 2026	True	agents	False
496	confirmed	17	Climate & Nature Fund In 2025, our total Climate & Nature Fund commitments since 2020 were €0.76 billion (2024: €0.67 billion).	reference_dense	E	Strong	genuine_result	Climate & Nature Fund commitments €0.76bn since 2020	False	agents	False
497	contested	17	We also partnered with Conservation International to restore mangroves in Ecuador.	not_assertion	E	Vague	genuine_result	Partnered to restore mangroves in Ecuador; no scale given	False	agents	False
498	confirmed	17	Cumulative spend by the Fund since 2020 reached €0.5 billion against our commitment to invest €1 billion by 2030.	not_assertion	E	Strong	genuine_result	€0.5bn Fund spend against €1bn-by-2030 commitment	False	agents	False
499	contested	17	Our wider influence on society Policy advocacy In 2025, we made progress on many of our climate policy advocacy priorities.	not_assertion	E	Vague	genuine_result	Claims progress on climate advocacy priorities; unmeasured	False	agents	False
501	contested	17	We re-signed the Corporate Leaders Group (CLG) Europe’s open letter urging the EU to adopt a science-based target of at least a 90% reduction in GHG emissions by 2040.	activity_report	E	Vague	genuine_result	Unilever's own advocacy for stronger NDCs	False	claude-inline	False
503	refuted	17	Additionally, we showcased our renewable energy deployment in markets, including a major solar electricity deal supporting suppliers in India, facilitated by government incentives.	not_assertion	E	Vague	genuine_result	Asserts own renewable deployment incl. solar deal supporting Indian suppliers; advocacy context	True	claude-inline	False
519	confirmed	18	Climate targets (million tonnes CO2e) Baseline year Total baseline emissions in scope of 2039 net zero ambition Emissions in scope of 2030 target % Baseline emissions in scope of 2030 target 2030 target % reduction 2030 target absolute reduction Scope 1 and 2 2015 2.1 95.6%(a) 2.0 100.0% 2.0 Scope 3 E&I 2021 45.1 69.6%(b) 31.4 42.0% 13.2 Scope 3 FLAG 2021 10.2 81.9%(b) 8.4 30.3% 2.5 Total Scope 3 2021 55.3 71.8% 39.8 39.5% 15.7 (a) Exceeds minimum coverage required by SBTi of 95%.	length	E	Future Promise	table_blob	Readable target table: 2030 cuts 100%/42%/30.3%, 2039 net zero ambition	False	claude-inline	False
533	confirmed	18	2030 target % reduction 2015 baseline % change vs. 2015 baseline Climate targets – Scope 1 and 2 (million tonnes CO2e) 2025 2024(a) 2023(a) Reduce absolute operational GHG emissions (Scope 1 and 2) by 100% by 2030 vs. a 2015 baseline 100% 2.01 (77) % (72) % (70) % Unilever(b) 1.75 (77) % — — Ice Cream 0.26 (74) % — — (a) 2024 and 2023 measured including Ice Cream.	length	E	Strong	table_blob	Table row: scope 1&2 down 77% vs 2015; 100% by 2030 target	False	claude-inline	False
535	confirmed	18	Despite headwinds in the reduction of our scope 1 and 2 GHG emissions, driven by vertical integration projects and manufacturing network changes, we continued to make progress in lowering our operational emissions through interventions such as those highlighted on page 227.	navigation	E	Vague	genuine_result	Claims continued progress lowering operational emissions, unquantified	False	claude-inline	False
536	confirmed	18	Our Sustainability Progress Index (SPI) climate goal performance, for internal remuneration purposes, was 76.6%, as detailed on page 97 We improved our GHG measurement accuracy through a more granular estimation methodology for emissions from decentralised business units.	navigation	E	Strong	genuine_result	Measured SPI climate goal performance 76.6% tied to remuneration	True	claude-inline	False
549	confirmed	19	Emissions % change vs. 2021 baseline Climate targets – Scope 3 (million tonnes CO2e) 2030 target % reduction 2021 baseline 2025 2024(a) 2025 2024(a) Reduce absolute Scope 3 E&I GHG emissions by 42% by 2030 vs. a 2021 baseline(b) 42.0% 31.4 27.9 29.2 (11) % (7) % Unilever 24.5 — — — Ice Cream 3.4 — — — Reduce absolute Scope 3 FLAG GHG emissions by 30.3% by 2030 vs. a 2021 baseline(c) 30.3% 8.4 7.0 7.4 (17) % (12) % Unilever 4.7 — — — Ice Cream 2.3 — — — (a) 2024 measured including Ice Cream.	length	E	Strong	table_blob	Table row: scope 3 E&I down 11%, FLAG down 17% vs 2021	False	claude-inline	False
558	confirmed	19	However, we are making progress to develop and scale lower GHG alternatives for these chemicals, as well as engaging with governments to accelerate the transition to sustainable chemicals, as set out on page 228.	navigation	E	Vague	genuine_result	Claims progress scaling lower-GHG chemical alternatives plus government advocacy	True	claude-inline	False
624	confirmed	21	We have seen an overall decrease of 5% in our total scope 1, 2 and 3 GHG emissions in 2025 from the prior year (including Ice Cream).	reference_dense	E	Strong	genuine_result	5% decrease in total scope 1-3 GHG emissions vs prior year	False	claude-inline	False
625	confirmed	21	Our progress in decarbonising our own operations has led to overall reductions in scope 1 and 2 emissions through interventions in energy efficiency and renewable energy sourcing, as detailed on page 227.	navigation	E	Vague	genuine_result	Asserts achieved scope 1 and 2 reductions from own decarbonisation, unquantified	False	claude-inline	False
662	contested	23	In practice, however, as not many of our operations are particularly energy-intensive, our scope 1 and 2 GHG reduction target – also included within Unilever’s Directors’ Remuneration Policy as part of the Performance Share Plan (PSP): Sustainability Performance Index (SPI) – acts as a more significant decision factor than an internal carbon price.	length	G	Vague	genuine_property	Scope 1 and 2 target embedded in Directors' PSP remuneration index	False	claude-inline	False
669	contested	24	However, this has been assessed as non-material in 2025, as our product portfolio is already highly biodegradable across our Business Groups.	not_assertion	E	Vague	genuine_property	Asserts product portfolio already highly biodegradable across Business Groups	False	claude-inline	False
672	confirmed	24	However, we evaluate consumer, worker and environmental exposures through our existing ingredient and product safety assessments, ensuring that our products and the ingredient levels we use are safe by design.	not_assertion	S	Vague	genuine_property	Asserts products and ingredient levels are safe by design	False	claude-inline	False
680	confirmed	24	Unilever’s Environmental Care Framework Standards (ECFWS) require sites to assess the potential for serious environmental incidents or emergency situations and implement comprehensive plans to prevent or mitigate the associated likely consequences.	not_assertion	E	Vague	genuine_property	Own standard requires all sites to plan for environmental incidents	False	claude-inline	False
697	confirmed	24	At a minimum, we ensure our products comply with regulations, such as restrictions on synthetic polymer microparticles, and monitor prohibited substances in regulatory lists, taking necessary actions as required.	not_assertion	E	Vague	genuine_property	Asserts products comply with regulations such as microplastic restrictions	False	claude-inline	False
698	confirmed	24	In some areas, our standards exceed regulatory requirements based on our environmental safety assessments or in regions where regulations are weak or poorly enforced.	not_assertion	E	Vague	genuine_property	Asserts own standards exceed regulatory requirements in some areas	False	claude-inline	True
720	confirmed	25	We are committed to ongoing improvements in our reporting capabilities.	not_assertion	G	Vague	genuine_commitment	Own 'we are committed to' statement on improving reporting capabilities	False	claude-inline	False
740	confirmed	26	■In 2025, we implemented nine additional water stewardship programmes, bringing our total to 29 active programmes (excluding one programme relating to Ice Cream) in Algeria, Argentina, Brazil, Chile, Cyprus, Egypt, India, Indonesia, Mexico, Nigeria, Pakistan, South Africa, Turkey and United Arab Emirates.	not_assertion	E	Strong	genuine_result	Nine new water stewardship programmes in 2025, total 29 active, achieved and measurable	False	claude-inline	False
741	confirmed	26	■Each programme follows the Alliance for Water Stewardship Standard, an external global framework, or the Prabhat approach, our community development initiative in India.	not_assertion	E	Vague	genuine_property	Verifiable property: each programme follows AWS Standard or Prabhat approach	True	claude-inline	False
742	confirmed	26	Programmes have specific timelines and activities informed by river basin studies (eight new studies completed in 2025) and local knowledge from regional implementation partners such as DKM in Turkey, TNC in Brazil and WWF in South Africa, Algeria and Pakistan.	not_assertion	E	Strong	genuine_result	Eight new river basin studies completed in 2025 is a measurable achieved deliverable	False	claude-inline	False
743	confirmed	26	For example, in 2025, we continued to roll out our Wonder Wash laundry detergent, now launched in over 30 markets, including India (Surf Excel).	not_assertion	E	Strong	genuine_result	Water-smart Wonder Wash launched in over 30 markets; achieved measurable rollout	True	claude-inline	False
744	confirmed	26	This product provides a short-cycle, low-water-use formulation.	not_assertion	E	Vague	genuine_property	Wonder Wash asserted as short-cycle, low-water-use product; verifiable product property	True	claude-inline	False
789	confirmed	28	These will inform site-level action plans, which will be finalised in 2026.	not_assertion	E	Future Promise	genuine_commitment	Own commitment: biodiversity site-level action plans finalised in 2026	True	claude-inline	False
813	confirmed	29	We do not use biodiversity offsets within any of our actions.	not_assertion	E	Vague	genuine_property	Verifiable property of own actions: no biodiversity offsets used	False	claude-inline	False
814	confirmed	29	Regenerative agriculture In 2025, we implemented 12 new regenerative agriculture programmes, bringing our total to 34 programmes (excluding one project relating to Ice Cream) that collectively cover 254,000 hectares since 2021.	not_assertion	E	Strong	genuine_result	12 new programmes, 34 total, 254,000 hectares since 2021	False	claude-inline	True
815	confirmed	29	The programme has in-field implementation in 17 countries: Argentina, Brazil, Canada, Chile, China, France, Germany, India, Indonesia, Italy, Mexico, Poland, Serbia, Spain, Thailand, the UK and the US.	not_assertion	E	Strong	genuine_property	Programme implemented in 17 named countries; verifiable operational footprint	False	claude-inline	False
816	confirmed	29	We have plans to increase the implementation of our regenerative agriculture initiatives to more than 400,000 hectares through supplier programmes and co-investment through our Regenerative Agriculture Fund in 2026.	not_assertion	E	Future Promise	genuine_commitment	Plan to exceed 400,000 hectares regenerative agriculture in 2026	False	claude-inline	True
821	confirmed	29	This investment will further expand our independent mills and direct sourcing associated with smallholder programmes.	not_assertion	E	Future Promise	genuine_commitment	Context: EUR280m UOI investment will expand independent mills, direct sourcing	True	claude-inline	False
823	confirmed	29	This has resulted in suppliers participating in Unilever’s supply chain and the protection and restoration of more than 8,000 hectares of forest.	not_assertion	E	Strong	genuine_result	Context: supplier remediation engagement protected/restored over 8,000 hectares forest	True	claude-inline	False
826	confirmed	29	Protect and restore In 2025, we implemented 3 new protection and restoration programmes closely associated with our sourcing locations.	not_assertion	E	Strong	genuine_result	3 new protection and restoration programmes implemented in 2025	False	claude-inline	False
827	confirmed	29	We have implemented 14 programmes (excluding two projects relating to Ice Cream) in total since 2021, covering around 660,000 hectares cumulatively.	not_assertion	E	Strong	genuine_result	14 programmes since 2021 covering around 660,000 hectares	False	claude-inline	False
830	confirmed	29	All actions are tracked against our target of protecting and restoring 1 million hectares of natural ecosystems by 2030.	not_assertion	E	Future Promise	genuine_commitment	States own target: protect/restore 1 million hectares by 2030	False	claude-inline	False
837	confirmed	29	Policy advocacy In 2025, we progressed our nature policy advocacy priorities with a strengthened focus on landscape action: ■Landscape Accelerator Brazil (LAB): Through the World Business Council for Sustainable Development’s LAB, we collaborated with peers and value chain partners to align on policy and finance solutions to support the regenerative transformation of the Cerrado, a key sourcing landscape for our soybean oil.	length	E	Vague	genuine_result	Unilever's own policy advocacy on Cerrado regenerative transformation	False	claude-inline	False
844	confirmed	30	By 2030, our regenerative agriculture programme aims to cover approximately 25% of the land required to grow the agricultural raw materials associated with our key crops for Unilever’s products.	not_assertion	E	Future Promise	genuine_commitment	By 2030 regenerative agriculture to cover ~25% of key crop land	False	claude-inline	False
845	confirmed	30	Our protect and restore target, which focuses on ecosystems within and around our key crops sourcing footprint, also aims to cover approximately 25% of our land footprint.	not_assertion	E	Future Promise	genuine_commitment	Protect and restore target aims at ~25% of land footprint	False	claude-inline	False
849	confirmed	30	Our targets and progress against these targets are set out below: Implement regenerative agriculture practices on 1 million hectares of agricultural land by 2030; and Help protect and restore 1 million hectares of natural ecosystems by 2030 Regenerative agriculture activities eligible for support through Unilever’s programmes must contribute to at least two of the five impact areas outlined in our Regenerative Agriculture Principles: climate, soil, water, livelihoods or biodiversity.	length	E	Future Promise	table_blob	Blob contains two 1 million hectare 2030 targets	False	claude-inline	False
855	confirmed	30	95% volume of key crops to be verified as sustainably sourced by 2030 Key crops include cereals and starches, cocoa, coconut oil, dairy, palm oil, paper and board, rapeseed oil, soy oil, sugar, tea, vanilla and vegetables, and account for over 77% of our agricultural sourcing by volume (excluding Ice Cream).	length	E	Future Promise	table_blob	95% key crops verified sustainably sourced by 2030 target	False	claude-inline	False
858	contested	30	Maintain no deforestation across our primary deforestation-linked commodities Performance is measured as the percentage of volumes purchased of palm oil, paper and board, tea, soy and cocoa that meet Unilever’s deforestation-free requirements in the period from 1 January to 31 December 2025.	methodology	E	Future Promise	genuine_commitment	Target: maintain no deforestation across primary linked commodities	False	claude-inline	False
867	confirmed	31	Nature targets Goal 2025 2024(a) 2023(a) Implement regenerative agriculture practices on 1 million hectares of agricultural land by 2030 (millions of hectares)(b) 1m Unilever 0.25m 0.13m 0.06m Ice Cream 0.00m — — Help protect and restore 1 million hectares of natural ecosystems by 2030 (millions of hectares)(b) 1m Unilever 0.66m 0.43m 0.29m Ice Cream 0.02m — — 95% volume of key crops to be verified as sustainably sourced by 2030 (% purchased)(c)(d) 95% Unilever 81% 79% 79% Ice Cream 74% — — Maintain no deforestation across our primary deforestation-linked commodities (% purchase volumes that are deforestation-free)(e) 95% Unilever 97% 97% 98% Ice Cream 89% — — (a) 2024 and 2023 measured including Ice Cream.	length	E	Strong	table_blob	Table: 0.25m/0.66m hectares, 81% sustainable, 97% deforestation-free 2025	False	claude-inline	False
870	confirmed	31	(c) Raw materials produced according to third-party certification and aligned with Unilever’s SAP were 62% in 2025 (2024: 63%, 2023: 66%).	not_assertion	E	Strong	genuine_result	62% raw materials certified and SAP-aligned in 2025	False	claude-inline	False
871	confirmed	31	(d) Raw materials purchased from non-sustainable sources but matched with credits representing verified sustainably sourced raw materials were 19% in 2025 (2024: 16%, 2023: 13%).	reference_dense	E	Strong	genuine_result	19% raw materials credit-matched sustainably sourced in 2025	False	claude-inline	False
873	confirmed	31	We continued to make progress against our regenerative agriculture target, implementing 12 new programmes in 2025.	not_assertion	E	Strong	genuine_result	Progress against target: 12 new regenerative programmes in 2025	False	claude-inline	False
874	confirmed	31	We plan to further scale the implementation of our initiatives through investment in our Regenerative Agriculture Fund in 2026.	not_assertion	E	Future Promise	genuine_commitment	Plan to scale initiatives via Regenerative Agriculture Fund in 2026	False	claude-inline	False
875	confirmed	31	We also exceeded our in-year protect and restore target, largely driven through the implementation of new programmes, for example expansion of activities within the Rimba Collective and a new programme in Ecuador with Conservation International.	not_assertion	E	Strong	genuine_result	Exceeded in-year protect and restore target; achieved comparative outcome	False	claude-inline	False
909	confirmed	32	In 2025, we purchased more than 152 kilotonnes of recycled plastic in our packaging as part of these and other initiatives.	not_assertion	E	Strong	genuine_result	Achieved measurable: purchased 152+ kilotonnes recycled plastic in 2025.	False	claude-inline	False
910	confirmed	32	Scaling alternative packaging formats and materials have also contributed to reducing our virgin plastic footprint and will continue to play an important role as we work towards further reductions.	general_statement	E	Vague	genuine_result	Asserts alternative formats contributed to reducing own virgin plastic footprint; unmeasured.	False	claude-inline	False
911	confirmed	32	In 2025, we collected and processed more plastic than we sold through our purchase of recycled plastic, strategic partnerships and participation in EPR schemes.	not_assertion	E	Strong	genuine_result	Achieved comparative outcome: collected and processed more plastic than sold in 2025.	False	claude-inline	False
914	confirmed	32	Since 2021, we have run more than 50 reuse–refill pilots, which have shown that ‘on-the- go’ solutions are more challenging to scale than ‘at-home’ models.	not_assertion	E	Strong	genuine_result	Quantified own action: 50+ reuse-refill pilots run since 2021.	False	claude-inline	False
917	confirmed	32	We also advocate for coordinated and enabling policy measures, like EPR, to create a level playing field and prevent individual business action on plastic from being uncompetitive.	not_assertion	E	Vague	genuine_property	Unilever's own advocacy for EPR policy measures.	False	claude-inline	False
918	confirmed	32	In 2025, we supported the creation of the Consumer Goods Forum’s policy guidelines for effective, locally tailored EPR systems in low- and middle-income countries, building on previously published Optimal EPR Principles.	not_assertion	E	Vague	genuine_result	Own advocacy action: supported CGF EPR policy guidelines in 2025.	False	claude-inline	False
919	refuted	32	Unilever also signed the Ellen MacArthur Foundation’s Global Commitment 2030, launched in November 2025, which aims to unite organisations across the plastics value chain behind a common vision.	activity_report	E	Vague	genuine_commitment	Unilever signed EMF Global Commitment 2030 on plastics.	False	claude-inline	False
922	confirmed	32	In 2024, we introduced a global Waste Standard mandating minimum requirements for managing hazardous and non-hazardous waste at all Unilever sites.	not_assertion	E	Vague	genuine_property	Introduced global Waste Standard mandating requirements at all sites.	False	claude-inline	False
924	confirmed	32	To reduce our waste footprint, the standard also requires sites to maintain zero non-hazardous waste from manufacturing to landfill or incineration without energy recovery.	policy_content	E	Vague	genuine_property	Standard requires sites to maintain zero non-hazardous waste to landfill.	False	claude-inline	False
930	confirmed	32	Although we will continue to deliver this commitment, it will no longer be a formal target.	not_assertion	E	Future Promise	genuine_commitment	Context: will continue collecting/processing more plastic than sold.	True	claude-inline	False
