Company	Page	Claim_Text	ESG_Type	Claim_Type	Evidence_Exists	Risk_Signal	Audit_Verdict	Audit_Category	Audit_ESG	Audit_ClaimType	Audit_Notes
Unilever	9	This may lead to an increased risk to continuity of supply, farmer livelihoods and hence cost of goods.	S	Vague	No	Vague	non_claim	risk_condition	S	NA	anaphoric risk statement, supply/livelihoods outcome
Unilever	9	Resource Use and Circular Economy Plastic pollution Negative Impact (OO) (VC) The use of plastics in our packaging could cause harm to biodiversity and ecosystems.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	could-cause-harm impact statement
Unilever	9	Extended producer responsibility (EPR) schemes for packaging and other plastic-related taxes ▲ Risk (OO) EPR schemes can help to improve recycling systems by ensuring that money is invested into waste management and packaging innovation and holding businesses to account for the packaging choices they make.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	EPR scheme description, generic benefit
Unilever	9	There is also a risk that bans and/or taxes are applied to certain types of plastic packaging and single-use plastics reducing market access or requiring increased investment in new packaging.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	plastic bans/taxes risk
Unilever	10	■Continuously enhance our environmental management systems and processes to improve performance, setting internal targets and public goals with clear metrics.	E	Future Promise	No	Unsubstantiated	non_claim	policy_content	E	NA	imperative policy bullet
Unilever	10	■Monitor and report transparently on our annual progress against public goals.	G	Future Promise	No	Unsubstantiated	non_claim	policy_content	G	NA	transparent reporting principle bullet
Unilever	10	■Engage employees on environmental issues, goals, plans and metrics.	E	Future Promise	No	Unsubstantiated	non_claim	policy_content	E	NA	
Unilever	10	■Ensure those responsible for this policy and our environmental goals have the necessary skills and competencies to lead and support our agenda.	E	Future Promise	No	Unsubstantiated	non_claim	policy_content	G	NA	internal capability/governance mechanism bullet
Unilever	10	■Collaborate with others to promote environmental care, increase understanding of environmental issues and share best practices.	E	Vague	No	Vague	non_claim	policy_content	E	NA	
Unilever	10	This includes complying with all legal requirements and holding necessary permits for GHG emissions management and reduction.	E	Vague	No	Vague	non_claim	policy_content	G	NA	legal compliance elaboration of policy bullet
Unilever	10	■Water consumption and management: Reduce water usage, especially in areas of high water stress, and manage wastewater discharge (pollution of water) appropriately.	E	Vague	No	Vague	non_claim	policy_content	E	NA	imperative policy bullet
Unilever	10	■Nature protection: Conduct business in a way that protects, preserves and regenerates nature (including biodiversity), and ensures no deforestation or conversion occurs.	E	Vague	No	Vague	non_claim	policy_content	E	NA	
Unilever	10	■Plastic use and waste: Reduce plastic use and waste to help create a transparent and circular economy for plastics.	E	Vague	No	Vague	non_claim	policy_content	E	NA	
Unilever	10	This includes complying with legal requirements with respect to plastic feedstock sourcing, plastics production, storage, transport and end-of-life management.	E	Vague	No	Vague	non_claim	policy_content	G	NA	legal compliance elaboration of policy bullet
Unilever	10	■Waste generation: Reduce waste generation and ensure waste is stored, handled, transported and disposed of in a manner that protects health, safety and the environment.	E	Vague	No	Vague	non_claim	policy_content	E	NA	
Unilever	10	The policy sets out four principles that these suppliers are required to comply with: ■Protecting natural ecosystems from deforestation and conversion: We are committed to ensuring that the in-scope materials entering our supply chain will not originate from deforested land or converted natural ecosystems.	E	Future Promise	No	Unsubstantiated	claim	genuine_commitment	E	Future Promise	mixed: policy intro + own no-deforestation commitment
Unilever	10	■Respecting and promoting human rights: We are committed to respecting and advancing the human rights of all people in line with the UN Guiding Principles on Business and Human Rights.	S	Vague	No	Vague	claim	genuine_commitment	S	Vague	own commitment, unmeasured
Unilever	10	■Transparency and traceability: We are committed to transparency and traceability in sourcing, governance and reporting to enable us to drive continuous improvement.	G	Vague	No	Vague	claim	genuine_commitment	G	Vague	own commitment, unmeasured
Unilever	10	■Being a force for good for people and planet: We are committed to working through partnerships to protect natural ecosystems within our supply chain, encouraging legal recognition of customary rights, implementing regenerative agricultural land use practices, and finding ways to restore damaged landscapes.	E	Future Promise	No	Unsubstantiated	claim	genuine_commitment	E	Vague	own commitment via partnerships, unmeasured
Unilever	10	Unilever Sustainable Agricultural Principles (SAPs) are a collection of good practices designed to codify important aspects of sustainability in farming, plantation and supply chain management, with the goal to positively transform agricultural practices for people, nature and climate.	E	Future Promise	No	Unsubstantiated	non_claim	policy_content	E	NA	SAP document description, no outcome
Unilever	10	■Contribute to an agricultural supply chain that maintains and regenerates soil health, supports appropriate land use, conserves and regenerates natural resources (including water resources), reduces waste and pollution, and avoids the introduction of invasive species.	E	Vague	No	Vague	non_claim	policy_content	E	NA	SAP principle bullet
Unilever	10	■Encourage agricultural practices that minimise greenhouse gases, improve energy efficiency and accelerate decarbonisation across the agricultural supply chain, while building climate resilience and adaptation.	E	Vague	No	Vague	non_claim	policy_content	E	NA	SAP principle bullet
Unilever	10	■Promote an agricultural supply chain with suppliers and farmers who are committed to continuous improvement to advance sustainable agricultural practices within the sector.	E	Vague	No	Vague	non_claim	policy_content	E	NA	imperative policy bullet
Unilever	10	The standards are implemented by our suppliers and farmers and enable us to source agricultural materials sustainably on an ongoing basis.	E	Vague	No	Vague	claim	genuine_property	E	Vague	standards implemented, sourcing outcome unmeasured
Unilever	11	Within this framework, progress against our climate goal in 2025 is measured on the reduction of our scope 1 and 2 greenhouse gas (GHG) emissions.	E	Future Promise	No	Unsubstantiated	non_claim	methodology_definition	E	NA	how progress is measured
Unilever	11	Climate Transition Action Plan Our second Climate Transition Action Plan (CTAP) was approved by shareholders in 2024.	G	Future Promise	No	Unsubstantiated	non_claim	activity_report	G	NA	plan approval event, no outcome
Unilever	11	It outlines our 2030 climate targets and the mitigation, adaptation and advocacy actions we will take to achieve them.	E	Future Promise	No	Unsubstantiated	claim	genuine_commitment	E	Future Promise	self-contained despite It opener; 2030 targets asserted
Unilever	11	The CTAP sets out our long-term ambition to achieve net zero GHG emissions by 2039.	E	Future Promise	No	Unsubstantiated	claim	genuine_commitment	E	Future Promise	net zero by 2039
Unilever	11	The CTAP has not been revised in 2025 as a result of the demerger of our Ice Cream business; impacts on our decarbonisation levers and actions will be reviewed in 2026.	E	Future Promise	No	Unsubstantiated	non_claim	methodology_definition	E	NA	plan revision status, not performance
Unilever	11	Climate targets We have set near-term climate targets to reduce absolute GHG emissions from our operations (scope 1 and 2) and our value chain (scope 3).	E	Future Promise	No	Unsubstantiated	claim	genuine_commitment	E	Future Promise	targets set to reduce scope 1-3 emissions
Unilever	11	Our scope 1 and 2 target was set versus a 2015 baseline using the market- based approach.	E	Future Promise	No	Unsubstantiated	non_claim	methodology_definition	E	NA	baseline explanation
Unilever	11	In 2024, SBTi validated that our proposed scope 3 targets conform with the SBTi Criteria and Recommendations for Near- Term Targets version 5.1.	E	Future Promise	Partial	Weak Evidence	claim	genuine_result	E	Strong	achieved third-party SBTi validation
Unilever	11	We selected a 2021 baseline date for our scope 3 targets, for which we have more accurate data.	E	Future Promise	No	Unsubstantiated	non_claim	methodology_definition	E	NA	baseline choice rationale
Unilever	11	Introducing more solar thermal technology, electrifying thermal processes and transitioning to sustainably sourced biofuels.	E	Vague	No	Vague	non_claim	table_fragment	E	NA	gerund lever detail, no finite verb
Unilever	11	Renewable power Increasing on-site and enabling off-site renewable energy generation Increasing on-site renewable electricity generation and enabling off-site generation through large-scale physical and virtual power purchase agreements (PPAs).	E	Vague	No	Vague	non_claim	table_fragment	E	NA	shredded lever table row
Unilever	11	Refrigeration(a) Reducing emissions from refrigeration Phasing-out high-impact systems and training teams to identify, report and prevent leaks from existing systems.	E	Vague	No	Vague	non_claim	table_fragment	E	NA	shredded lever table row
Unilever	11	Scope 3 (value chain) Supplier Climate Programme Scaling the programme Building supplier capability through best-practice sharing, innovative partnerships and access to technical assistance and financing.	E	Vague	No	Vague	non_claim	table_fragment	E	NA	shredded lever table row
Unilever	11	Embedding climate goals into procurement strategies to drive supplier-level climate actions at scale, and engage on industry initiatives that advance standardised, transparent approaches to scope 3 decarbonisation.	E	Future Promise	No	Unsubstantiated	non_claim	table_fragment	E	NA	gerund table cell, no subject
Unilever	11	Reformulating products Using innovative ingredients Developing lower GHG products including the use of low GHG ingredients and packaging, and reducing palm oil usage in soap bars.	E	Vague	No	Vague	non_claim	table_fragment	E	NA	shredded lever table row
Unilever	11	Forest-risk commodities Investing in our value chain Building supply chain infrastructure to meet deforestation-free requirements, enrolling more suppliers and smallholder farmers in our direct sourcing programmes and smallholder development hubs, and driving improvements in the processing of forest-risk commodities.	E	Vague	No	Vague	non_claim	table_fragment	E	NA	shredded lever table row
Unilever	11	Chemical ingredients Reducing GHG intensity Reducing the GHG intensity of soda ash and linear alkylbenzene sulfonate (LAS) production through increased use of renewable energy sources and alternative feedstocks.	E	Vague	No	Vague	non_claim	table_fragment	E	NA	shredded lever table row
Unilever	12	Decarbonisation lever Key action Details Packaging Reducing material use Designing new product packaging formats, transitioning to recycled and renewable feedstocks, and designing packaging for recycling.	E	Vague	No	Vague	non_claim	table_fragment	E	NA	includes table header text
Unilever	12	Ice cream cabinets(a) Increasing energy efficiency Renewing cabinet fleet with more energy-efficient models and transitioning to renewable energy.	E	Vague	No	Vague	non_claim	table_fragment	E	NA	shredded lever table row
Unilever	12	Examples include programmes to end deforestation and scale up regenerative agriculture, which can help communities adapt to climate change and increase the resilience of our supply chains through healthier soils, which are better able to cope with more extreme weather patterns.	E	Vague	No	Vague	non_claim	activity_report	E	NA	examples include programmes, generic benefit
Unilever	12	■Developing supplier strategies for alternative, sustainably sourced materials to build supply chain resilience.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	outcome is business resilience
Unilever	12	■Leveraging climate-driven consumer demands, such as fabric cleaning products that work at lower temperatures.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	business opportunity, not ESG outcome
Unilever	12	Climate advocacy actions To maximise the impact of Unilever’s actions and to create a level playing field, we advocate for policies that drive the global transition to net zero.	E	Future Promise	No	Unsubstantiated	non_claim	advocacy_opinion	E	NA	advocacy activity, no company outcome
Unilever	12	Our cross-cutting advocacy plans aim to: ■Raise the ambition of national climate strategies and plans in key markets to align with a 1.5°C pathway.	E	Future Promise	No	Unsubstantiated	non_claim	advocacy_opinion	E	NA	advocacy aim about national policy
Unilever	12	■Ensure carbon is priced at levels necessary for the delivery of the Paris Agreement goals.	E	Future Promise	No	Unsubstantiated	non_claim	advocacy_opinion	E	NA	advocacy aim bullet
Unilever	12	■Scale up renewable energy capacity and secure the rapid phase-out of fossil fuels, including fossil fuel subsidies.	E	Vague	No	Vague	non_claim	advocacy_opinion	E	NA	advocacy aim bullet
Unilever	12	■Support forest protection and nature restoration.	E	Vague	No	Vague	non_claim	advocacy_opinion	E	NA	advocacy aim bullet
Unilever	12	■Encourage evolution of GHG Protocol standards to incentivise faster emissions reduction actions in value chains.	E	Vague	Partial	Weak Evidence	non_claim	advocacy_opinion	E	NA	advocacy aim bullet
Unilever	13	Unilever’s response to climate change has long been embedded into our way of doing business, and our actions to reduce our impacts on nature are also integral to reducing our agriculture and land-based emissions.	E	Vague	No	Vague	claim	genuine_property	E	Vague	unmeasured embedded-in-business assertion
Unilever	13	The selected nature scenarios align with the climate scenarios based on their temperature goals and policy ambitions.	E	Future Promise	No	Unsubstantiated	non_claim	methodology_definition	E	NA	scenario selection method
Unilever	13	This is achieved through globally coordinated climate policies and technological innovation.	E	Vague	No	Vague	non_claim	anaphoric_fragment	E	NA	scenario narrative, referent missing
Unilever	13	Net zero CO2e achieved by approximately 2070.	E	Future Promise	No	Unsubstantiated	non_claim	risk_condition	E	NA	scenario description, not company target
Unilever	13	Net zero is not reached by 2100, although CO2e levels decline from approximately 2040.	E	Future Promise	No	Unsubstantiated	non_claim	risk_condition	E	NA	scenario description
Unilever	13	It assumes strong COP15-aligned policies and coordinated global climate efforts limiting warming to well below 2°C, reducing biodiversity loss and ecosystem degradation.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	scenario assumption description
Unilever	13	Delayed Nature Action Utilising FAO ‘Stratified Societies’ data, this scenario assumes acute disruptions to ecosystem services, such as water scarcity, pollination collapse or soil degradation, which results in impacts to operations, supply chains and resource availability.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	scenario assumption description
Unilever	13	It assumes fragmented global efforts and insufficient climate policies drive temperatures above 2°C by 2050, worsening biodiversity loss and environmental decline, and escalating risks for businesses and communities.	E	Future Promise	No	Unsubstantiated	non_claim	risk_condition	E	NA	scenario assumption description
Unilever	13	Aligns with global society’s aim to achieve climate neutrality by 2050 and coincides with long-term systemic economic shifts, worsening physical climate risks, and deep decarbonisation trajectories that could transform our business environment.	E	Future Promise	No	Unsubstantiated	non_claim	risk_condition	E	NA	scenario description, subject missing
Unilever	14	Gross Gross: Direct carbon pricing includes manufacturing, operational and distribution costs; indirect carbon pricing includes costs for raw material suppliers due to higher costs for energy sources such as electricity and fossil fuel.	E	Vague	No	Vague	non_claim	methodology_definition	E	NA	carbon pricing calculation definition
Unilever	14	Emissions assumed to decrease with Unilever forecasts; coverage assumptions based on relevant carbon pricing mechanisms; given complex supply chains, scope 3 emissions apportioned to relative jurisdictions based on scope 1 and 2 emissions proportions.	E	Vague	No	Vague	non_claim	methodology_definition	E	NA	modelling assumptions, not performance
Unilever	14	Net: Emissions assumed to decrease in line with emissions reduction targets for scope 1 and 2.	E	Future Promise	No	Unsubstantiated	non_claim	methodology_definition	E	NA	modelling assumption, not commitment
Unilever	15	Environmental pressures therefore pose significant risks to supply chain stability and productivity, potentially affecting crop yields, raw material availability and long-term sourcing strategies.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	supply chain risk description
Unilever	15	Our assessment demonstrates that as global temperatures increase and nature continues to degrade, financial risk increases.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	assessment finding on business financial risk
Unilever	15	For key ingredients like palm, subject to regulations such as EU Deforestation Regulation (EUDR), we are building supply chain infrastructure to meet deforestation-free requirements and enrolling more suppliers and smallholder farmers in our direct sourcing programmes and smallholder development hubs.	E	Vague	No	Vague	claim	genuine_property	E	Vague	compliance framing but environmental sourcing conduct
Unilever	15	We are also scaling up regenerative agriculture and collaborating across shared supply chains to amplify impact.	S	Vague	No	Vague	claim	genuine_property	E	Vague	ongoing action, unmeasured
Unilever	15	This is compounded by possible global responses – regulatory shifts, changing consumer expectations and investor scrutiny – demanding greater transparency and action.	G	Future Promise	No	Unsubstantiated	non_claim	risk_condition	E	NA	external pressures, anaphoric opener
Unilever	15	Plastic-related regulatory risk As a global consumer goods company, we recognise that our reliance on plastic materials, particularly in packaging, exposes us to increasing regulatory risk.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	regulatory risk exposure
Unilever	15	Governments worldwide are intensifying efforts to reduce plastic pollution, with a growing number implementing extended producer responsibility (EPR) schemes, plastic usage taxes and stricter compliance frameworks.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	world condition, not company conduct
Unilever	15	Our plastics footprint also increases exposure in some jurisdictions, notably the EU.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	business exposure statement
Unilever	15	In preparing our 2025 Unilever consolidated financial statements, we have considered the impact of both physical and transition climate change risks, and any planned mitigations, on the current valuation of our assets and liabilities.	E	Future Promise	No	Unsubstantiated	non_claim	methodology_definition	E	NA	financial reporting process, not performance
Unilever	15	Although significant uncertainties remain about the extent, timing and geographic location of both physical and transition climate risks to our business.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	uncertainty fragment
Unilever	15	These insights are an important input into our medium- and long-term strategic planning and in 2026, will be reviewed as we shape our sustainability ambitions beyond 2030.	E	Future Promise	No	Unsubstantiated	non_claim	anaphoric_fragment	E	NA	planning process, needs antecedent
Unilever	15	Rising temperatures and extreme weather, including drought and water scarcity, increase adaptation and mitigation costs and may reduce demand for our products, especially household water-dependent products and in more climate-affected regions.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	climate risk to demand
Unilever	15	Scaling up regenerative agriculture: Resilience is at the heart of our regenerative agriculture programmes, where we work to protect and regenerate the natural and agricultural ecosystems in our value chain and support the people whose livelihoods depend on them.	S	Vague	No	Vague	claim	genuine_property	E	Vague	mixed: resilience framing + ecosystem aim
Unilever	15	Practices include water-saving techniques like precision irrigation and use of organic fertilisers to improve soil health.	E	Vague	No	Vague	non_claim	activity_report	E	NA	practice examples, no outcome
Unilever	15	Sourcing our commodities responsibly: We remain focused on maintaining deforestation-free sourcing across our primary deforestation-linked commodities and continuing to implement our sustainable sourcing programmes.	E	Vague	No	Vague	claim	genuine_commitment	E	Vague	implies maintained deforestation-free status
Unilever	15	These initiatives help suppliers adopt resilience practices and also increase the transparency of our sourcing decisions.	G	Vague	No	Vague	non_claim	advocacy_opinion	G	NA	generic benefit, business resilience
Unilever	15	Direct sourcing of palm feedstocks brings better transparency and traceability, and places less reliance on intermediaries.	G	Vague	No	Vague	non_claim	advocacy_opinion	G	NA	generic benefit of direct sourcing
Unilever	15	Interventions within our factories focus on reducing water usage, promoting reuse and encouraging recycling.	E	Vague	No	Vague	claim	genuine_property	E	Vague	operational conduct, unmeasured
Unilever	15	Within river basins where our factories are located, we work to reduce supplier water usage, improve community access to water, or replenish resources through landscape projects such as reforestation.	E	Vague	No	Vague	claim	genuine_property	E	Vague	we work to, unmeasured
Unilever	15	To reduce the impact of these risks, we are: Reducing our GHG emissions: We are taking action to reduce our most material GHG emissions, as set out in our CTAP, and mitigate the potential financial impact of carbon prices.	E	Vague	No	Vague	claim	genuine_property	E	Vague	mixed: emissions action + financial mitigation
Unilever	15	Our actions include supplier engagement to reduce emissions from our raw materials and ingredients, as well as product redesign strategies towards lower GHG ingredients or formulations.	E	Vague	No	Vague	non_claim	activity_report	E	NA	actions-include enumeration, no outcome
Unilever	15	We continue to advocate externally to ensure carbon is priced at levels necessary to achieve the Paris Agreement goals.	E	Future Promise	Partial	Weak Evidence	non_claim	activity_report	E	NA	advocacy activity, not own performance
Unilever	15	This will be key to meeting our 2030 targets and net zero ambition.	E	Future Promise	No	Unsubstantiated	non_claim	anaphoric_fragment	E	NA	This unresolved, importance assertion
Unilever	15	Our wider climate advocacy is both critical to supporting the achievement of our climate targets and to driving systemic global initiatives to reduce the likelihood of the more extreme scenarios and their impacts.	E	Future Promise	No	Unsubstantiated	non_claim	advocacy_opinion	E	NA	is critical, opinion
Unilever	16	Scope 1 and 2 (our operations) Efforts to reduce emissions from our operations continue to focus on driving energy efficiency measures, sourcing renewable electricity and decarbonising our thermal energy consumption.	E	Vague	No	Vague	claim	genuine_property	E	Vague	ongoing efforts, unmeasured
Unilever	16	We scaled up the electrification of thermal energy by installing industrial-scale heat pumps at sites in the Philippines and India, and we increased our use of electric boilers with an installation at our Cavite site in the Philippines.	E	Vague	No	Vague	claim	genuine_result	E	Strong	achieved installations, comparative scale-up
Unilever	16	We also made progress in our transition to renewable fuels.	E	Vague	No	Vague	claim	genuine_result	E	Vague	made progress, unmeasured
Unilever	16	Expanding the Unilever Oleochemicals Indonesia (UOI) refinery is a key part of our growth strategy, however we need to ensure this growth does not impact delivery of our scope 1 and 2 climate target.	E	Future Promise	No	Unsubstantiated	non_claim	risk_condition	E	NA	strategy tension, not commitment
Unilever	16	Together, we currently source biomethane from two mills (2024: 2) in our sustainable palm oil development programme and aim to scale to additional mills in coming years.	E	Future Promise	No	Unsubstantiated	claim	genuine_property	E	Strong	mixed: measured current sourcing (2 mills) + scale-up aim
Unilever	16	Having seen early success through sourcing biomethane produced from palm oil mill effluent (POME) in Indonesia, we are advocating for wider expansion of biomethane production in Indonesia.	E	Vague	No	Vague	non_claim	activity_report	E	NA	advocacy activity, no own-conduct outcome
Unilever	16	Supplier Climate Programme Over 60% of our GHG emissions in scope of our net zero ambition come from raw materials, ingredients and packaging, so accelerating the decarbonisation of key suppliers remains a priority.	E	Future Promise	Partial	Weak Evidence	non_claim	advocacy_opinion	E	NA	footprint composition context plus priority statement
Unilever	16	This data helps us and our suppliers identify, plan and deliver measurable emissions reductions.	E	Future Promise	No	Unsubstantiated	non_claim	advocacy_opinion	E	NA	generic benefit of unspecified data; anaphoric
Unilever	16	An example of supplier level climate action is our work with key aluminium can suppliers to reduce aerosol packaging emissions by sourcing aluminium produced with low-carbon energy.	E	Vague	No	Vague	non_claim	activity_report	E	NA	example of ongoing work, no stated outcome
Unilever	16	Building on this progress, we intend to engage with a larger subset of SCP suppliers to develop targeted action plans and drive supplier level climate action in the future.	E	Future Promise	No	Unsubstantiated	claim	genuine_commitment	E	Future Promise	intent to engage suppliers, unmeasured
Unilever	16	In India, HSBC provides lower cost sustainability linked financing to select suppliers, which Unilever supports by helping suppliers meet the requirements of the SCP.	E	Vague	No	Vague	non_claim	activity_report	E	NA	third-party financing; support activity, no outcome
Unilever	16	Upskilling our procurement teams was prioritised to improve the quality of climate engagement with their suppliers, delivering training in Brazil, India and Poland.	S	Vague	No	Vague	non_claim	activity_report	E	NA	training delivered, no measured outcome; climate aim
Unilever	16	Reformulating products Reformulating our products remains an important opportunity for emissions reduction.	E	Vague	No	Vague	non_claim	advocacy_opinion	E	NA	importance-of-opportunity statement
Unilever	16	Our Business Groups continue driving innovation, aiming to deliver superior products at great value while reducing environmental impact.	E	Future Promise	No	Unsubstantiated	claim	genuine_commitment	E	Vague	puffery-level aim, unmeasured
Unilever	16	In addition, we rolled out RhamnoClean technology – a 100% natural, biodegradable and renewable biosurfactant – into our core hand dishwash products in Indonesia.	E	Strong	Yes	Supported	claim	genuine_result	E	Strong	achieved rollout with verifiable product properties
Unilever	16	Forest-risk commodities GHG emissions from the sourcing of our five primary deforestation-linked commodities (palm oil, paper and board, tea, soy and cocoa) arise predominantly from land use change, agricultural practices and downstream processing.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	emission-source composition, not performance
Unilever	16	In 2025, we exceeded 95% purchase volumes of these commodities as deforestation-free, based on our requirements.	E	Strong	Yes	Supported	claim	genuine_result	E	Strong	self-contained despite anaphoric opener; measured 95%
Unilever	16	To address this, we have increased our direct sourcing of palm feedstocks, improving traceability and helping us maintain no deforestation.	E	Vague	No	Vague	claim	genuine_result	E	Vague	unquantified increase, vague benefits
Unilever	16	Our deforestation-free landscape strategy aims to empower smallholders within our supply chain.	E	Future Promise	No	Unsubstantiated	claim	genuine_commitment	S	Vague	strategy aim to empower smallholders, unmeasured
Unilever	16	We continued to increase the number of smallholders across Indonesia trained in sustainable agricultural practices, with around 29,500 trained since January 2024.	E	Vague	No	Vague	claim	genuine_result	E	Strong	29,500 trained; sustainable-agriculture outcome
Unilever	16	Achieving our reduction targets requires decreasing the GHG intensity associated with both LAS and soda ash production.	E	Future Promise	No	Unsubstantiated	non_claim	risk_condition	E	NA	dependency statement, no conduct asserted
Unilever	16	In 2025, collaboration continued with a strategic partner to reduce the GHG intensity of their LAS production.	E	Vague	No	Vague	non_claim	activity_report	E	NA	collaboration continued, no stated outcome
Unilever	16	We also continued to secure volumes of lower-GHG soda ash from two key suppliers.	E	Vague	No	Vague	claim	genuine_property	E	Vague	lower-GHG sourcing asserted, volumes unquantified
Unilever	16	This includes soda ash produced using biomass fuel sources and natural soda ash manufactured through less energy-intensive processes that avoid additional CO₂ during processing.	E	Vague	No	Vague	non_claim	anaphoric_fragment	E	NA	elaborates prior sentence, no standalone conduct claim
Unilever	16	While there has been some industry movement towards lower-emission chemicals, progress remains slow.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	industry-wide condition, not own conduct
Unilever	17	In 2025, we reduced our use of virgin plastics for the packaging of our products by 29% versus a 2019 baseline.	E	Strong	Yes	Supported	claim	genuine_result	E	Strong	
Unilever	17	We also reported 57% of our plastic packaging to be reusable, recyclable or compostable.	E	Strong	Yes	Supported	claim	genuine_property	E	Strong	measured packaging property (57%)
Unilever	17	We will also continue to reduce virgin plastic use.	E	Future Promise	No	Unsubstantiated	claim	genuine_commitment	E	Future Promise	forward-looking, no target number
Unilever	17	In 2025, we saw an 8% increase in our scope 3 upstream transport and distribution (logistics) emissions compared to the prior year.	E	Strong	Yes	Supported	claim	genuine_result	E	Strong	measured own performance, though unfavourable
Unilever	17	This was due to the adoption of the latest Global Logistics Emissions Council (GLEC) framework which resulted in an increase in emission factors.	E	Vague	No	Vague	non_claim	methodology_definition	E	NA	framework change explains emission-factor increase
Unilever	17	Similarly, the use of hydrotreated vegetable oil (HVO) continued to increase in Europe, supporting our transition toward lower-carbon transport solutions.	E	Vague	No	Vague	claim	genuine_result	E	Vague	directional increase, unquantified
Unilever	17	In North America, we continued to transition from diesel to renewable natural gas (RNG) on specific lanes, further strengthening our journey toward carbon reduction.	E	Vague	No	Vague	claim	genuine_result	E	Vague	unquantified fuel-transition activity
Unilever	17	The impact of the demerger on Unilever’s Climate Transition Action Plan and climate targets will be reassessed in 2026.	E	Future Promise	No	Unsubstantiated	non_claim	methodology_definition	E	NA	target reassessment process, not a commitment
Unilever	17	We invested in the continuous development of sustainable supply chains.	E	Vague	No	Vague	claim	genuine_result	E	Vague	unmeasured investment assertion
