ID,Page,Sentence,Real ESG Claim,ESG Type,Reasoning
114,40,We initiated a comprehensive review of our sustainability and human rights policy framework in 2025 to ensure alignment with emerging legislation and external benchmark standards.,,,
115,40,■Providing fair and equitable wages that meet or exceed legal or industry standards.,,,
116,40,■Respecting the dignity of the individual and the right of employees to freedom of association and collective bargaining.,,,
117,40,"■Value chain: Our upstream value chain includes workers employed by our business partners, including manufacturing facilities, laboratories and refineries, professional service providers, agricultural workers and smallholder farmers growing and harvesting crops for use as ingredients in our products.",,,
118,41,"Central functions such as Sustainability, Procurement and Legal teams provide guidance and support in addressing our salient human rights issues.",,,
119,41,"This data is used to estimate the likelihood of impacts and identify areas where further verification, such as desktop or on-the-ground audits, may be required.",,,
120,41,"This session provided a platform for open dialogue on emerging human rights issues and trends, and for gathering views and insights on strengthening our approach to HRDD.",,,
121,41,"We also engage with rightsholders via grievance mechanisms to understand concerns and issues and, where appropriate, provide remedy.",,,
122,41,"We support independent palm smallholders through the creation of development hubs in partnership with SNV, Forum Konservasi Leuser and World Resources Institute.",,,
123,42,Issues identified during RPP audits are independently verified by a third-party within 90 days to verify whether remediation measures have been effective.,,,
124,42,Our RPP Implementation Guidance provides resources to support business partners in remedying issues.,,,
125,42,Our approach is to work with partners to ensure they have effective and trusted grievance mechanisms for their workers.,,,
126,42,"We periodically publish the findings of business partner audit reports, with the last report published in 2023.",,,
127,42,We publish regular updates on our actions to manage potential and actual human rights impacts through our website at unilever.com.,,,
128,42,We work with business partners and other stakeholders as needed and engage with rightsholders to better understand the impact and ensure remediation actions meet the needs of the affected individual or community.,,,
129,42,"While Unilever grievance mechanisms are in place, we believe issues are best addressed close to where the impact occurred.",,,
130,42,"With respect to affected communities, reported grievances are recorded in our People and Nature Grievance Tracker and we publish details on our website.",,,
131,42,"■Continuing to partner with VietCycle on the ‘Plastic Reborn’ programme to provide training, PPE and other essential support to over 3,000 waste collectors in Vietnam since 2021.",,,
132,42,■Engaging with business partners in Turkey to develop and implement a repayment plan to reimburse workers who covered the costs of their own health checks during recruitment processes.,,,
133,43,(c) 2024 incidents relate to cases identified through 2023 RPP audit data.,,,
134,44,"Additionally, they incorporate explicit non-retaliation policies protecting individuals who report concerns or alleged breaches of the Code, as outlined in our Governance disclosures on page 266.",,,
135,44,"Any HR grievances that are not escalated through the Speak Up channels, i.e.",,,
136,44,Effectiveness of engagement We provide regular updates on workforce engagement activities at Board meetings to ensure employee feedback informs decision-making where appropriate.,,,
137,44,"Managing impacts and risks related to own workforce Talent We are an FMCG employer of choice for graduates and early career talent, with a 142:1 applicant to job ratio in 2025 (industry average 38:1) and LinkedIn organic engagement of 12% (industry average 7.4%).",,,
138,44,"Rights-based discussions were central to the agenda, covering topics such as freedom of association and collective bargaining, precarious employment and job security, restructuring and reorganisation impacts, and occupational health and safety in line with ILO Convention 155.",,,
139,45,Accountability for implementation of the framework sits with the Chief People Officer; the framework is publicly available and applied locally through compensation policies and procedures.,,,
140,45,Additional data points (headcount data for approximately 6% of employees plus manual data points) have been collected as at 31 October 2025; any significant changes to 31 December 2025 are reviewed.,,,
141,45,"Freedom of association and collective bargaining As set out in our Approach to Human Rights section on page 251, Unilever’s Code Policies reflect our commitments with regard to freedom of association and collective bargaining.",,,
142,45,"In 2021, we received our first global independent accreditation as a living wage employer.",,,
143,45,"In 2025, training included: ■Artificial Intelligence (AI): We provided comprehensive training across business groups, geographies and functions.",,,
144,45,"In 2025, we introduced a data-driven process to better align talent with value, pinpointing our highest-impact roles and the people best positioned to grow into them.",,,
145,45,Learnings from key incidents and near- misses are shared via training.,,,
146,45,"This refreshed approach ensures a strong talent pipeline, following our 2024–2025 global reorganisation, by identifying and accelerating key talent and strengthening succession plans at senior leadership levels.",,,
147,45,"Training is also made available to employees on subjects such as how to recognise forced labour, our working hours policy and inclusion.",,,
148,45,"We conduct annual mandatory Code training for all employees, which regularly includes training on how to recognise bullying and harassment, and discrimination.",,,
149,45,"We have further mandatory training (such as sexual harassment training) in a number of countries in which we operate, in response to regulatory requirements.",,,
150,45,"■Social-First: We provided global training to our marketers on applying the principle across insight generation, growth strategy, innovation and design, and building brands in culture.",,,
151,46,"At 31 December 2025, there were a further 1,060 employees reported as part of the demerger of the Ice Cream business and the net movement of joiners and leavers over the reporting period was (323).",,,
152,46,Collective bargaining coverage and social dialogue Unilever does not have any EEA countries that meet the criteria of significant employment.,,,
153,46,"Employee turnover 2025 2024 Total turnover of employees in year (headcount) 16,527 17,334 Rate of employee turnover (%) 17.2% 14.5% The increase in employee turnover, seen between 2024 and 2025, is primarily due to the impact of Unilever’s productivity programme.",,,
154,46,Employees covered by collective bargaining agreements 2025 2024 Total percentage of employees covered by collective bargaining agreements 53.3% 54.6% SOCIAL DISCLOSURES Sustainability Statement Unilever Annual Report and Accounts 2025 257,,,
155,46,"Therefore we do not report (i) collective bargaining by region within the EEA, or (ii) in relation to social dialogue, the percentage of employees covered at the establishment level by workers’ representatives by country.",,,
156,47,"This is either the applicable legal living or legal minimum wage, the minimum wage set by applicable collective bargaining agreements, or where neither exists, either an appropriate alternative adequate wage benchmark (as set out in AR73) or the voluntary living wage.",,,
157,48,(c) Days lost in 2024 included 7 incidents where employees were absent at 31 December 2024; a total of 448 days were included pertaining to these incidents of which 214 were estimated.,,,
158,48,"As of February 2026, for 2 incidents where employees were absent at 31 December 2025, actual days lost for one employee that returned have been included and an additional estimated 95 days included to accommodate anticipated days lost in 2026 for the other employee.",,,
159,48,Total actual days lost for the employees were 643 days (including 2 incidents capped at 180 days) based on data provided in 2025.,,,
160,49,"Substantiation is determined through review by the relevant Unilever Business Integrity Officer and/or Responsible Business Manager and the management of the Third-Party Service Provider, where applicable.",,,
161,50,"In Indonesia, we are supporting smallholder farmers with high-yield dwarf coconut trees, which is making coconut sugar production faster and safer, alongside training families to optimise the sugar-making process.",,,
162,50,"Our Shakti programme supports over 200,000 women micro-entrepreneurs in rural Asia and Africa and provides them with access to business training.",,,
163,50,Our goal is to help 2.5 million SMEs in our retail value chain grow their business by 2026.,,,
164,50,Targets relating to sustainable sourcing and regenerative agriculture practices in our value chain are detailed in our Biodiversity and Ecosystem disclosures on page 241.,,,
165,50,"We also help small tea growers in India meet sustainability standards through the Trustea certification programme, providing access to digital tools that promote good agricultural practices.",,,
166,50,"We are also continuing to support our last-mile distribution programmes, which help us to reach consumers in remote areas.",,,
167,50,■Helping smallholder farmers to improve their productivity and farming practices by enrolling them in certification schemes and providing access to income growth and regenerative agriculture programmes.,,,
168,51,"For SMEs served by Ice Cream and non-Ice Cream distributors, no allocation is made to Ice Cream since it is assumed that these SMEs will be part of Unilever’s continuing operations following the demerger of our Ice Cream business.",,,
169,51,"However, progress against our SME target in 2025 was lagging and overall there was a decline in active retailers compared to 2024.",,,
170,51,Large markets such as India and Indonesia continued to expand SME participation through digital ordering.,,,
171,52,Code of Business Principles Individuals can report concerns about potential breaches of Unilever’s COBP and Code Policies through our Code reporting channels.,,,
172,52,"Engaging with consumers and end-users We engage with our consumers and end-users, including those groups considered vulnerable, through a range of communication channels on a continuous basis, reaching over 3 million consumer contacts in 2025 through our various platforms.",,,
173,52,"In the event of a marketplace incident relating to consumer safety or product quality, an incident management team is activated to ensure timely and effective action.",,,
174,52,Marketing to Children Our marketing teams are responsible for ensuring compliance with our Marketing to Children Principles.,,,
175,52,These principles ensure that Unilever adheres to the strictest standards in marketing to children and adheres to all relevant local regulations and pledges.,,,
176,52,"Trained consumer communication agents respond to questions where appropriate, and their use and effectiveness are tracked by monitoring performance against set indicators and through consumer feedback surveys.",,,
177,52,"We also use consumer research from partners such as Kantar, Nielsen and Ipsos, who we engage through their regular surveys and panels.",,,
178,52,We monitor feedback provided by consumers on Unilever’s brands and products on social media and through product reviews on digital commerce sites.,,,
179,52,"We operate consumer care lines around the world for our consumers to share any comments or concerns, with details provided on packs and through our websites.",,,
180,52,We use these insights to support our aim of providing superior products and delivering great consumer experiences.,,,
181,52,"When necessary, we will issue a public recall of the affected products from the marketplace, even if only small quantities of products are involved.",,,
182,52,"Where non-compliance is identified, our teams work to make the necessary changes, such as changes to artwork, to ensure adherence to the principles.",,,
183,53,"In 2025, we issued one public recall relating to the Ice Cream business, which was caused by undeclared allergens.",,,
184,53,"In addition to Unilever’s Science-based Nutrition Criteria, we publish a scoring of our portfolio against six externally endorsed Nutrient Profiling Models, contributing to greater transparency in nutrition disclosure.",,,
185,53,Marketing to Children The updated Marketing to Children Principles has been published on our Responsible Business platform and communicated through internal channels.,,,
186,53,"We also track the completion of our corrective and preventive actions, for example, those related to marketplace incidents/recalls and consumer-safety-related manufacturing incidents, to ensure that our processes for learning from incidents are effective in preventing future recurrence.",,,
187,53,We have labelling approval processes in place to ensure compliance with external regulations and Unilever’s policies.,,,
188,53,"We monitor the effectiveness of our product safety processes and controls in a number of ways, including leadership scorecards and tracking key metrics such as marketplace incidents/recalls, consumer- safety-related complaints, and the completion of audits and associated actions.",,,
189,53,"Where necessary, we will issue a public recall of the affected products from the marketplace even if only small quantities of products are involved.",,,
190,54,"On a like-for-like basis with 2024 and 2023, the combined percentage of the Foods and Ice Cream portfolio meeting Unilever’s Science-based Nutrition Criteria was 83% and the number of products sold that deliver positive nutrition was 53% in 2025.",,,
191,54,Products that do not exceed any of the criteria or thresholds are considered to be compliant.,,,
192,54,See page 243 for actions and targets relating to our plastic packaging.,,,
193,55,"Responsibility for the day-to-day implementation of the COBP and Code Policies is delegated to the Unilever Leadership Executive and all senior management across Unilever’s Business Groups, business units and functions.",,,
194,55,"The key elements of Unilever’s standards of conduct are set out in our Code of Business Principles (COBP) and Code Policies, which provide a set of mandatory rules that govern how we run our business.",,,
195,55,"This approach is underpinned by Unilever’s COBP, with each principle supported by a Code Policy setting out what employees must and must not do to ensure they are living the Code.",,,
196,56,"Additionally, we provide robust internal and external reporting platforms that are accessible to our employees and partners to facilitate prompt reporting.",,,
197,56,All Business Integrity Officers are trained on Unilever’s standards and processes and are required to uphold these at all times.,,,
198,56,Business conduct training Employees and Directors are required to know the COBP and Code Policies and understand how to apply them in their work.,,,
199,56,"Completion of training is tracked, and we follow up with employees who fail to complete mandatory training, taking further action where required.",,,
200,56,"Employees are also informed that if they prefer not to use the direct or anonymised channels provided by Unilever, they can utilise other external channels and report directly to the authorities.",,,
201,56,Identifying and reporting breaches Unilever’s Code Policies require that actual or potential breaches of the COBP or Code Policies be reported immediately.,,,
202,56,"In 2025, approximately 86% of our procurement spend (including Ice Cream) was with suppliers that met the mandatory requirements of the RPP.",,,
203,56,"Suppliers are encouraged to communicate with Unilever if they face challenges in meeting the RPP requirements, so we can provide support and guidance.",,,
204,56,The available reporting channels are set out in our Code Policies and highlighted during business integrity training and in our communications.,,,
205,56,"The scope of our RPP goes beyond our Tier 1 suppliers, who directly invoice Unilever for goods and services, by including our expectation for suppliers to cascade equivalent requirements within their own supply chains.",,,
206,56,"This includes ensuring that all third parties are subject to the provided Responsible Partner Policy (RPP) controls for onboarding, contracting and ongoing monitoring.",,,
207,56,We conduct annual mandatory training for all office-based employees and have tailored training for those employees working in factories and more remote areas.,,,
208,56,"While the COBP and Code Policies are for internal use, we also publish them externally in support of transparency.",,,
209,57,"Additional bespoke training is offered for employees who may face a greater risk in their activities in respect of corruption or bribery, such as those in external-facing commercial roles.",,,
210,57,"Anti-corruption and anti-bribery training As part of our annual mandatory Business Integrity learning programme, anti-corruption and anti-bribery training is deployed to all employees.",,,
211,57,"Detailed written anti-corruption guidance and standards are also in place in relevant areas, such as with public officials, gifts and hospitality, grants and donations, and conflicts of interest.",,,
212,57,"Oversight of political engagement In 2025, Unilever’s Chief Corporate Affairs and Communications Officer oversaw both national government engagement and lobbying activity, as well as global engagement with intergovernmental organisations and NGOs.",,,
213,57,Political contributions Unilever companies are prohibited from supporting or contributing to political parties or candidates.,,,
214,57,"Political influence and lobbying activities Unilever engages with governments, policymakers, regulators, NGOs and other stakeholders involved in policy and government through our advocacy and lobbying activities.",,,
215,57,"Preventing, detecting and addressing allegations or incidents of corruption and bribery The core processes to prevent, detect and address allegations or incidents of corruption and bribery are the same as those in place for Unilever’s COBP and Code Policies.",,,
216,57,"The COBP and Code Policies are available in multiple languages, and lessons are included in the annual mandatory training.",,,
217,57,The anti-corruption and anti-bribery training programme is sponsored by the Chief Legal Officer and Chief Business Integrity Officer.,,,
218,57,"These prohibit both public and commercial bribery, to or from any third party, and irrespective of financial values involved, and explicitly prohibit facilitation payments.",,,
219,57,"To ensure the safety of our products, we develop and advance the use of safety assessment approaches based on modern science that do not rely on new animal data.",,,
220,57,Unilever Board members also receive training on this subject.,,,
221,57,Unilever’s mandatory standard on animal testing sets out the strict internal approval and control procedures in place to ensure our position is upheld.,,,
222,57,"We continuously introduce tailored measures to mitigate these risks, along with additional bespoke training.",,,
223,58,Country Name of Register Entity ID number Germany Lobbyregister beim Deutschen Bundestag Unilever Germany R003910 Ireland Register of Lobbying Unilever UK&I 2621 GOVERNANCE DISCLOSURES Sustainability Statement Unilever Annual Report and Accounts 2025 269,,,
224,58,"Furthermore, Unilever works with governments to accelerate enabling conditions, including encouraging the protection and restoration of land, forests and oceans, and putting forward policies that incentivise regenerative agriculture.",,,
225,58,"Furthermore, we comply with the US Lobbying Disclosure Act (LDA); the LDA website provides a searchable database of disclosure filings.",,,
