Sample_ID	Company	Page	Sentence	Real ESG Claim	ESG Type	Reasoning
27	Unilever	44	Additionally, they incorporate explicit non-retaliation policies protecting individuals who report concerns or alleged breaches of the Code, as outlined in our Governance disclosures on page 266.			
28	Unilever	5	Based on our review of the DMA, two IROs relating to biodegradability and regulatory landscape changes have been removed.			
29	Unilever	8	Through this analysis, we reviewed our exposure to these risks and the potential financial implications to our business.			
30	Unilever	20	Where not available, relevant emission factors are calculated and categorised as FLAG and E&I based on external LCI data, assuming that emissions up to the ’farm gate’ are FLAG (i.e.			
31	Unilever	57	This standard is one of several that underpins Unilever’s Responsible Innovation Code Policy, which requires that all employees involved in scientific research and innovation must comply with all standards relevant to their area of work.			
32	Unilever	5	are not covered by the ESRS, are denoted by the symbol (▲).			
33	Unilever	32	Our sites follow a framework to identify and implement actions to address negative waste-related impacts.			
34	Unilever	2	Except as required by any applicable law or regulation, the Group expressly disclaims any obligation or undertaking to release publicly any updates or revisions to any forward-looking statements contained herein to reflect any change in the Group’s expectations with regard thereto or any change in events, conditions or circumstances on which any such statement is based.			
35	Unilever	57	Animal welfare policies Unilever uses leading-edge safety science, not animals, to evaluate the safety of our products.			
36	Unilever	49	The median employee total annual remuneration for all Unilever employees (excluding the highest-paid individual) is identified as the employee with total annual remuneration in the middle of the full list of employees by total annual remuneration.			
37	Unilever	35	It is assumed that all estimated hazardous waste is directed to disposal by incineration without energy recovery and all estimated non- hazardous waste is directed to disposal by landfill.			
38	Unilever	48	(b) Days lost in 2025 include 3 incidents capped at 180 days.			
39	Unilever	22	Renewable energy generated which is sold to and used by a third party is not subtracted from energy generated or offset against energy consumption.			
40	Unilever	15	These capabilities help us monitor potential disruptions to supplier sites, logistics routes and material availability, providing early signals that inform mitigation actions.			
41	Unilever	29	Regenerative agriculture In 2025, we implemented 12 new regenerative agriculture programmes, bringing our total to 34 programmes (excluding one project relating to Ice Cream) that collectively cover 254,000 hectares since 2021.			
42	Unilever	18	Our GHG emissions for 2015 (scope 1 and 2) and 2021 (scope 3) were considered as representative of Unilever’s typical GHG emissions profile and form the baselines for our targets.			
43	Unilever	25	sampling) to calculate pollutant emissions where possible.			
44	Unilever	26	These policies encompass water management and water consumption.			
45	Unilever	56	It is the responsibility of the Business Integrity Committees to ensure timely investigation of all potential Code breaches raised within 60 days.			
46	Unilever	27	(c) 2024 restated from 1 million m3 to 0.3 million m3 due to an aggregation error.			
47	Unilever	53	Unilever disputes these allegations, which it does not consider are substantiated.			
48	Unilever	38	We consolidated disclosures relating to human rights impacts into the ‘Approach to Human Rights’ section as due diligence processes are common across our rightsholders.			
49	Unilever	45	In 2025, training included: ■Artificial Intelligence (AI): We provided comprehensive training across business groups, geographies and functions.			
50	Unilever	5	Further information is described in the section 'Company and board engagement with stakeholders' on page 60.			
51	Unilever	52	Marketing to children The Responsible Marketing Code Policy sets out our commitment to market our products and services truthfully, accurately and transparently.			
52	Unilever	24	In some areas, our standards exceed regulatory requirements based on our environmental safety assessments or in regions where regulations are weak or poorly enforced.			
53	Unilever	5	We evaluated our material IROs against the ESRS to identify which disclosure requirements apply.			
54	Unilever	40	See page 221 for further details regarding these policies in the Environmental policies section.			
55	Unilever	39	Affected Communities Salient human rights issues Land rights, including Indigenous Peoples’ rights Negative Impact (OO) (VC) Land is a source of livelihood for many and is also linked with people’s identities, culture and social status, which are protected by legal or customary rights.			
56	Unilever	20	the amount consumed per individual portion, single use or serving of a Unilever product by one person) is determined based on: studies on consumer habits, on-pack recommendations or internal expert opinion.			
57	Unilever	20	land use change where appropriate, land management, and all other production activities associated with agriculture and raw material extraction), with all remaining emissions assumed to be E&I.			
58	Unilever	33	Where packaging components are made of multiple materials, those that are predominantly plastic by weight are defined as plastic packaging.			
59	Unilever	10	Value Chain Unilever’s Responsible Partner Policy (RPP) applies to our business partners in our upstream and downstream value chain.			
60	Unilever	45	Accountability for implementation of the framework sits with the Chief People Officer; the framework is publicly available and applied locally through compensation policies and procedures.			
61	Unilever	50	■We are helping small businesses in our retail value chain grow.			
62	Unilever	51	This was largely due to key markets migrating from local applications to our global digitised distributive trade (DDT) platform, as well as the demerger of our Ice Cream business impacting activity levels.			
63	Unilever	41	Tools support risk analysis at country and commodity levels to better understand potential impacts on value chain workers.			
64	Unilever	22	Unilever GHG intensity per net revenue (tonnes CO2e/€ million) 2025 2024(a) Total GHG emissions (market-based) per net revenue(b) 1,921 1,788 Total GHG emissions (location-based) per net revenue(c) 1,937 1,806 Ice Cream GHG intensity per net revenue (tonnes CO2e/€ million) Total GHG emissions (market-based) per net revenue 952 — Total GHG emissions (location-based) per net revenue 993 — (a) 2024 measured including Ice Cream.			
65	Unilever	3	Scope Our sustainability statement is prepared on a consolidated basis, consistent with the scope and reporting period (1 January to 31 December 2025) of our consolidated financial statements.			
66	Unilever	59	The percentage of invoices paid on time is calculated as the number of invoices for which the payment advice is triggered by Unilever to the bank (clearing date) on or before the date on which Unilever must pay the invoice to the supplier as per the agreed payment terms (payment due date), divided by the total number of invoices during the reporting period.			
67	Unilever	51	Performance is measured as the cumulative total number of smallholder farmers in Unilever’s supply chain who have received help from Unilever to access livelihoods programmes in the reporting period.			
68	Unilever	26	Water target Goal 2025 2024(a) 2023(a) Implement water stewardship programmes in 100 locations in water-stressed areas by 2030 (number of water stewardship programmes) 100 Unilever 29 21 13 Ice Cream 1 — — (a) 2024 and 2023 measured including Ice Cream.			
69	Unilever	26	Within our upstream value chain, we manage water risk through our RPP and verify compliance with its mandatory requirements and management systems as described above.			
70	Unilever	33	Allocation to Ice Cream: Plastic packaging volumes purchased are estimated based on proportion of finished goods volumes categorised as Ice Cream products, using information such as product recipes and production volumes.			
71	Unilever	30	Credits: Based on the percentage of Ice Cream key crop volumes divided by total key crop volumes, apart from palm kernel oil which is not used by Ice Cream.			
72	Unilever	5	Where relevant, scoping information is included in IRO descriptions.			
73	Unilever	29	Each programme starts with a context analysis of the local environment, in partnership with participating farmers, and draws on the expertise of local agronomists.			
74	Unilever	41	We developed a Corrective Action Plan to address key risks and briefed policymakers to influence industry transformation.			
75	Unilever	40	Our People & Nature Policy applies to direct suppliers of in-scope materials and requires these partners to: ■Conduct human rights due diligence within their own operations and supply chains.			
76	Unilever	36	In preparing our 2025 disclosure, we have followed the guidance provided by the European Union on treating turnover and capital expenditure from disposal groups and discontinued operations.			
77	Unilever	8	In addition, customer and consumer demand could shift or erode from the resulting macroeconomic pressures linked to rising adaptation costs.			
78	Unilever	31	(e) 2023 performance measured for all commodity volumes ordered for three-month period October to December, except for palm oil in India measured only for December.			
79	Unilever	36	For the remaining material activities that are eligible – relating to CCM/ CCA 7.7 (the acquisition and ownership of buildings) – we have not been able to meet the Substantial Contribution or Do No Significant Harm criteria, as we do not have access to EPC certificates or undertake a climate and vulnerability assessment for these assets.			
80	Unilever	56	Officers are posted around the world to respond to cases, with oversight from a central Business Integrity team.			
81	Unilever	53	Marketing to Children The updated Marketing to Children Principles has been published on our Responsible Business platform and communicated through internal channels.			
82	Unilever	42	This excludes issues that were still under investigation as at 31 December 2025 or where corrective actions were still to be agreed.			
83	Unilever	29	We have plans to increase the implementation of our regenerative agriculture initiatives to more than 400,000 hectares through supplier programmes and co-investment through our Regenerative Agriculture Fund in 2026.			
84	Unilever	38	The output of our 2025 DMA for our social impacts, risks and opportunities is included below: Material impact, risk or opportunity Description Own Workforce and Workers in the Value Chain Talent Risk (OO) Critical to delivering our business strategy and performance is our people.			
85	Unilever	18	Allocation to Ice Cream: Emissions from dedicated manufacturing and logistics sites and owned vehicles.			
86	Unilever	58	Unilever entities are also listed in the lobbying registers of other EU Member States, as set out below.			
87	Unilever	30	Allocation to Ice Cream Implement regenerative agriculture practices: Programmes funded by or associated to an Ice Cream brand.			
88	Unilever	41	It is also consulted in situations where there is a high risk of potential or actual impact, when a critical business decision is required, or if significant financial resources may be needed to address an issue.			
89	Unilever	34	For water consumption volumes, including Ice Cream allocation, refer to Water Consumption metrics on page 238.			
90	Unilever	38	■Consumers and end-users: The individuals and households who use our products every day.			
91	Unilever	38	Saliency is defined by the United Nations Guiding Principles on Business and Human Rights (UNGPs) as ’the human rights that are at risk of the most severe negative impacts through a company’s activities or business relationships’.			
92	Unilever	3	Following the demerger of our Ice Cream business on 6 December 2025, all territories and activities within the scope of the Ice Cream business have been treated as discontinued operations in the consolidated financial statements.			
93	Unilever	41	The process includes conducting Environmental and Social Impact Assessments (ESIAs) and stakeholder consultations in line with the principles of Free, Prior and Informed Consent (FPIC), managed through internal approval gateways overseen by the Responsible Business team.			
94	Unilever	16	We expanded our supplier product carbon footprint (PCF) data collection, receiving submissions from 91 suppliers and collecting over 2,000 PCF data points.			
95	Unilever	54	Through ongoing engagement with consumers and analysis of market trends, we build robust innovation pipelines.			
96	Unilever	9	Hazardous waste Negative Impact (OO) Hazardous waste resulting from the manufacture, transport, use or disposal of our products may not be properly handled or disposed of.			
97	Unilever	57	In addition, some governments still test certain products on animals as part of their regulations.			
98	Unilever	4	Our global Sustainability function is led by our Chief Corporate Affairs and Communications Officer, supported by the Global Head of Sustainability, and is divided into three core areas: ■Dedicated Business Group Sustainability teams work closely with the relevant teams and leadership to embed sustainability IROs into their strategies.			
99	Unilever	50	We have engaged in a number of forums and initiatives that provide insight and expertise from the perspective of people in our value chain to help develop these targets, including extensive engagement with the International Labour Organization (ILO) and the World Business Council for Sustainable Development (WBCSD).			
100	Unilever	38	These strategies are supported by our Unmissable Brand Superiority framework and the 6Ps – product, packaging, proposition, promotion, place and pricing – which drive brand innovation.			
